,string,count,group
145,Canadian Wireless Telecommunications Association,308,canadian wireless telecommunications association
146,BIOTECANADA,306,biotecanada
147,cae inc.,306,cae inc.
148,Co-operative Housing Federation of Canada,303,co-operative housing federation of canada
149,Canadian Egg Marketing Agency COB Egg Farmers of Canada,303,canadian egg marketing agency cob egg farmers of canada
150,Diabetes Canada,301,diabetes canada
151,The Toronto-Dominion Bank,300,td bank financial group
152,International Brotherhood of Electrical Workers First District,299,international brotherhood of electrical workers
153,Corus Entertainment Inc.,299,corus entertainment inc.
154,Loblaw Companies Limited,297,loblaw companies limited
155,Nova Scotia Power Incorporated,297,nova scotia power inc.
156,DUCKS UNLIMITED CANADA,294,ducks unlimited canada
157,Juvenile Diabetes Research Foundation,293,juvenile diabetes research foundation
158,Microsoft Canada Inc.,292,microsoft corporation
159,GENERAL ELECTRIC CANADA,286,general electric canada
160,Petroleum Services Association of Canada,286,petroleum services association of canada
161,"MasterCard Canada, ULC.",286,mastercard canada
162,BMO Financial Group,285,bmo financial group
163,Trans Canada Trail,282,trans canada trail
164,National Airlines Council of Canada,277,national airlines council of canada
165,CANADIAN PORK COUNCIL,275,canadian pork council
166,Citibank Canada,274,citibank canada
167,Vale Canada Limited,273,vale
168,Mortgage Professionals Canada,272,mortgage professionals canada
169,The Canadian Chiropractic Association,270,canadian chiropractic association
170,The Canadian Vaping Association,269,the canadian vaping association
171,Consumer Health Products Canada,269,consumer health products canada
172,Maple Leaf Foods Inc.,268,maple leaf foods
173,STEMCELL Technologies Canada Inc.,267,stemcell technologies canada inc.
174,BC Dairy Association,263,bc dairy association
175,HIV Legal Network,263,hiv legal network
176,Des Nedhe Development LP,263,des nedhe development
177,MDA Systems Ltd.,260,mda ltd.
178,Air Transport Association of Canada (ATAC),260,air transport association of canada
179,Vancouver Shipyards Co. Ltd.,259,vancouver shipyards co. ltd.
180,Amyotrophic Lateral Sclerosis Society of Canada,256,amyotrophic lateral sclerosis society of canada
181,Global Automakers of Canada,256,global automakers of canada
182,Ecojustice Canada,256,ecojustice
183,WEST COAST ENVIRONMENTAL LAW ASSOCIATION,254,west coast environmental law association
184,Credit Union Central of Canada,252,credit union central of canada
185,IBM Canada Ltd.,252,ibm canada ltd
186,Canadian Marine Pilots' Association,252,canadian marine pilots association
187,ATCO Ltd.,248,atco
188,York University,248,york university
189,Futurpreneur Canada,248,futurpreneur canada
190,GCT Global Container Terminals Inc.,246,gct global container terminals inc.
191,HONDA CANADA INC.,244,honda canada inc.
192,Canada's Building Trades Unions,244,canada's building trades unions
193,Friends of Canadian Broadcasting,244,friends of canadian broadcasting
194,Association for Reformed Political Action (ARPA) Canada,244,association for reformed political action (arpa) canada
195,Engineers Without Borders (Canada) Organisation,243,engineers without borders (canada) organisation
196,McGill University,242,mcgill university
197,Air Canada Pilots Association,241,air canada pilots association
198,"Westcoast Energy Inc., dba Spectra Energy Transmission",240,"westcoast energy inc., dba spectra energy transmission"
199,RAILWAY ASSOCIATION OF CANADA (THE) (RAC),239,railway association of canada
200,Beer Canada,239,beer canada
201,"UNITED STEEL, PAPER AND FORESTRY, RUBBER, MANUFACTURING, ENERGY, ALLIED INDUSTRIAL AND SERVICE WORKERS INTERNATIONAL UNION",238,"united steel, paper and forestry, rubber, manufacturing, energy, allied industrial and service workers international union"
202,Emera Incorporated,238,emera incorporated
203,Magellan Aerospace Corporation,237,magellan aerospace corporation
204,"ACTRA Alliance of Canadian Cinema, Television and Radio Artists",236,"actra alliance of canadian cinema, television and radio artists"
205,"MacDonald, Dettwiler and Associates Inc.",235,macdonald dettwiler and associates ltd
206,TURKEY FARMERS OF CANADA,234,turkey farmers of canada
207,Canadian Pharmacists Association,233,canadian pharmacists association
208,FPInnovations,233,fp innovations
209,Sagen Mortgage Insurance Company Canada,231,sagen mortgage insurance company canada
210,CEMENT ASSOCIATION OF CANADA,231,cement association of canada
211,CANADIAN SEED TRADE ASSOCIATION,228,canadian seed trade association
212,Kinder Morgan Canada Limited,227,kinder morgan canada inc
213,Memorial University of Newfoundland,226,memorial university of newfoundland
214,Research Canada:  An Alliance for Health Discovery / Recherche Canada : Une alliance pour les découvertes en santé,221,research canada: an alliance for health discovery / recherche canada : une alliance pour les decouvertes en sante
215,TRIUMF,220,triumf
216,Canadian Natural Resources Limited,220,canadian natural resources limited
217,Canadian Nuclear Association,216,canadian nuclear association
218,Pfizer Canada ULC,215,pfizer canada inc.
219,Gay Lea Foods Co-operative Ltd,215,gay lea foods
220,YMCA Canada,215,ymca
221,Grand Challenges Canada,214,grand challenges canada
222,Certified General Accountants Association of Canada,214,certified general accountants association of canada
223,National Association of Federal Retirees,213,national association of federal retirees
224,Coca-Cola Ltd.,213,coca-cola limited
225,ConocoPhillips Canada Resources Corp.,206,conoco phillips canada
226,Pipe Line Contractors Association of Canada,206,pipe line contractors association of canada
227,Ferrero Canada Ltd.,205,ferrero canada
228,Humane Society International/Canada,205,humane society international/canada
229,Canadian Natural Gas Vehicle Alliance,205,canadian natural gas vehicle alliance
230,Federally Regulated Employers - Transportation and Communications (FETCO),204,federally regulated employers - transportation and communication (fetco)
231,IAMGOLD Corporation,203,iamgold corporation
232,GlaxoSmithKline,202,glaxosmithkline
233,Western Canadian Shippers' Coalition,201,western canadian shippers coalition
234,CARE Canada,200,care canada
235,EVANGELICAL FELLOWSHIP OF CANADA,200,evangelical fellowship of canada
236,Chamber of Marine Commerce,200,chamber of marine commerce
237,CANADIAN IMPERIAL BANK OF COMMERCE ( CIBC),200,canadian imperial bank of commerce ( cibc)
238,Canadian Alliance to End Homelessness,198,canadian alliance to end homelessness
239,Aga Khan Foundation Canada,197,aga khan foundation canada
240,Janssen Inc. (Pharmaceutical Companies of Johnson & Johnson),195,janssen inc.
241,CNIB (CANADIAN NATIONAL INSTITUTE FOR THE BLIND),195,cnib (canadian national institute for the blind)
242,Coast Capital Savings Federal Credit Union,194,coast capital savings
243,Barrick Gold Corporation,193,barrick gold corporation
244,Writers Guild of Canada,193,writers guild of canada
245,Sun Life Financial Inc.,192,sun life financial
246,Alberta Milk,191,alberta milk
247,Simon Fraser University,191,simon fraser university
248,Canadian Association of Defence and Security Industries (CADSI),190,canadian association of defence and security industries
249,Plan International Canada Inc.,188,plan canada
250,Dairy Farmers of Nova Scotia,187,dairy farmers of nova scotia
251,L'UNION DES PRODUCTEURS AGRICOLES,186,l'union des producteurs agricoles
252,Chevron Canada Limited,185,chevron corp.
253,Sport Matters,185,sport matters
254,Canadian Wildlife Federation,183,canadian wildlife federation
255,Coast Forest Products Association,183,coast forest products association
256,"Amazon Canada Fulfillment Services, ULC",181,amazon
257,NOVA Chemicals Corporation,181,nova chemicals
258,The United Church of Canada,180,the united church of canada
259,TransAlta Corporation,180,transalta corporation
260,Canadian Psychological Association,179,canadian psychological association
261,ArcelorMittal Dofasco G.P.,179,arcelormittal dofasco
262,Intellectual Property Institute of Canada,178,intellectual property institute of canada
263,NAV CANADA,178,nav canada
264,Canadian Association of Broadcasters,177,canadian association of broadcasters
265,CROPLIFE CANADA,177,croplife canada
266,Johnson & Johnson Inc.,176,johnson & johnson
267,Visa Canada Corporation,176,visa canada corporation
268,Husky Oil Operations Limited,174,husky energy inc.
269,The Canadian Real Estate Association,173,canadian real estate association
270,Alzheimer Society of Canada,173,alzheimer society of canada
271,Ontario Teachers' Pension Plan Board,172,ontario teachers' pension plan board
272,Oxfam-Québec,171,oxfam-quebec
273,Pulse Canada,169,pulse canada
274,Cisco Systems Canada Co.,168,cisco systems canada
275,World Society for the Protection of Animals,168,world society for the protection of animals
276,Canadian Poultry and Egg Processors Council,168,canadian poultry and egg processors council
277,Motion Picture Association - Canada,167,motion picture association - canada
278,MNP LLP,167,mnp
279,Steelworkers Humanity Fund,167,steelworkers humanity fund
280,Association of Canadian Publishers,166,association of canadian publishers
281,CANADIAN DENTAL HYGIENISTS ASSOCIATION,166,canadian dental hygienists association
282,Irving Oil Limited,166,irving oil
283,INTERVAC - INTERNATIONAL VACCINE CENTRE,165,intervac - international vaccine centre
284,Sustainable Development Technology Canada,164,sustainable development technology canada
285,Agrium Inc.,164,agrium inc.
286,Inter Pares,163,inter pares
287,Cosmetics Alliance Canada,161,cosmetics alliance canada
288,Conference for Advanced Life Underwriting (CALU),161,conference for advanced life underwriting
289,Canada Green Building Council,161,canada green building council
290,Canadian Wind Energy Association,161,canadian wind energy association
291,The Hospital for Sick Children (SickKids),160,the hospital for sick children
292,Bell Canada,160,bell canada
293,Greater Toronto Airport Authority,158,greater toronto airport authority
294,"Deans Council - Agriculture, Food & Veterinary Medicine, (Deans Council AFVM)",158,"deans council - agriculture, food & veterinary medicine, (deans council afvm)"
295,LNG Canada Development Inc.,157,lng canada development inc.
296,Canadian Federation of Apartment Associations - Fédération canadienne des associations de propriétaires immobiliers,157,canadian federation of apartment associations - federation canadienne des associations de proprietaires immobiliers
297,Cargill Limited,157,cargill limited
298,Co-operatives and Mutuals Canada,156,co-operatives and mutuals canada
299,Climate Action Network Canada,156,climate action network canada
300,General Dynamics Land Systems-Canada,155,general dynamics canada
301,TMX Group Limited,155,tmx group
302,CANADIAN STANDARDS ASSOCIATION,154,canadian standards association
303,The Association of Faculties of Medicine of Canada,153,the association of faculties of medicine of canada
304,Association Of Canadian Distillers,153,association of canadian distillers
305,fisheries council of canada,151,fisheries council of canada
306,Entertainment Software Association of Canada,151,entertainment software association of canada
307,Bell Media,150,bell media
308,Saskatchewan Milk Marketing Board,150,saskatchewan milk marketing board
309,IPEX Group,150,ipex inc.
310,Woodbine Entertainment Group,150,woodbine entertainment group
311,BUSINESS COUNCIL OF BRITISH COLUMBIA,149,business council of british columbia
312,Association of Canadian Port Authorities,147,association of canadian port authorities
313,Toyota Canada Inc.,146,toyota canada inc.
314,Canada Organic Trade Association,145,canada organic trade association
315,University of Guelph,144,university of guelph
316,Frontier Duty Free Association,143,frontier duty free association
317,Capital Power Corporation,143,capital power corporation
318,Federated Co-operatives Limited,142,federated co-operatives limited
319,LifeScan Canada ULC,139,lifescan canada ltd.
320,Canadian Music Publishers Association operating as Music Publishers Canada,138,canadian music publishers association
321,Canadian Construction Association,137,canadian construction association
322,Advanced Biofuels Canada,136,advanced biofuels canada
323,Viterra Inc.,136,viterra inc.
324,Canadian Association for Long Term Care,136,canadian association for long term care
325,Manulife Financial Corporation,135,manulife financial corporation
326,INSURANCE BUREAU OF CANADA/BUREAU D'ASSURANCE DU CANADA,134,insurance bureau of canada
327,Canadians for Clean Prosperity,134,canadians for clean prosperity
328,Bell Textron Canada Limited,134,bell textron canada limited
329,Canadian Ferry Operators Association,133,canadian ferry operators association
330,Canada’s Oil Sands Innovation Alliance,133,canada's oil sands innovation alliance
331,3M CANADA COMPANY,131,3m canada company
332,Merck Canada Inc.,131,merck canada
333,Prairie Oat Growers Association,131,prairie oat growers association
334,UNITED PARCEL SERVICE CANADA LTD.,131,ups canada
335,National Marine Manufacturers Association (NMMA) Canada,130,national marine manufacturers association
336,Canadian Urban Transit Research & Innovation Consortium (CUTRIC),130,canadian urban transit research & innovation consortium (cutric)
337,Canadian Association  of Mutual Insurance Companies,130,canadian association of mutual insurance companies
338,Grain Farmers of Ontario,130,grain farmers of ontario
339,Insurance Brokers Association of Canada,130,insurance brokers association of canada
340,Amgen Canada Inc.,129,amgen canada inc.
341,Aboriginal Peoples Television Network,128,aboriginal peoples television network
342,Food Processors of Canada,128,food processors of canada
343,MDA Ltd.,127,mda ltd.
344,Canadian marine pilots' Association,126,canadian marine pilots association
345,Imperial Tobacco Canada Limited,124,imperial tobacco canada limited
346,BELL HELICOPTER TEXTRON CANADA LIMITED,124,bell helicopter textron canada limited
347,Pelmorex Corp.,124,pelmorex corp.
348,Major International Events Network,124,major international events network
349,Mastercard Canada,124,mastercard canada
350,Oceana Canada,123,oceana canada
351,COM DEV Ltd.,123,com dev ltd.
352,Canadian Association of Mutual Insurance Companies,123,canadian association of mutual insurance companies
353,News Media Canada,123,news media canada
354,Canadian Credit Union Association,123,canadian credit union association
355,Canada Foundation for Innovation,123,canada foundation for innovation
356,Ocean Wise Conservation Association,123,ocean wise
357,Canadian Light Source Inc.,122,canadian light source inc.
358,Chamber of Shipping of British Columbia,122,chamber of shipping of british columbia
359,Banque Nationale du Canada,122,banque nationale du canada
360,OXFAM CANADA,122,oxfam
361,THALIDOMIDE SURVIVORS TASKFORCE,120,thalidomide survivors taskforce
362,Canadian Automobile Dealers Association (CADA),120,canadian automobile dealers association
363,Canadian Museums Association,120,canadian museums association
364,Canadian Automobile Association,120,canadian automobile association
365,Canadian Association of University Teachers,118,canadian association of university teachers
366,National Council of Canadian Muslims (NCCM),118,national council of canadian muslims (nccm)
367,Vancouver City Savings Credit Union,118,vancouver city savings credit union
368,"Rothmans, Benson & Hedges Inc.",117,"rothmans, benson & hedges inc."
369,Mennonite Central Committee Canada,117,mennonite central committee canada
370,Small Guys Tobacco Group,117,small guys tobacco group
371,Amazon,117,amazon
372,GS1 Canada,116,gs1 canada
373,Family Service Toronto,116,family service toronto
374,Ryerson University,116,ryerson university
375,CANADIAN MARKETING ASSOCIATION,116,canadian marketing association
376,National Association of Career Colleges,116,national association of career colleges
377,ACCESS COPYRIGHT,115,access copyright
378,The Canadian Lung Association,115,the canadian lung association
379,Law Society Ontario,114,law society ontario
380,Saskatchewan Telecommunications,114,saskatchewan telecommunications
381,IMPERIAL TOBACCO CANADA LIMITED,114,imperial tobacco canada limited
382,"Amazon Web Services Canada, Inc.",114,amazon
383,Canadian Convenience Stores Association,114,canadian convenience stores association
384,Food and Beverage Canada,114,food and beverage canada
385,Canadian Institute for Advanced Research,113,canadian institute for advanced research
386,Canadian Independent Music Association,113,canadian independent music association
387,Refraction Asset Management Ltd.,113,refraction asset management ltd.
388,"MacDonald, Dettwiler and Associates Ltd.",112,macdonald dettwiler and associates ltd
389,Alcoa Canada Co.,112,alcoa canada co.
390,University of Lethbridge,112,university of lethbridge
391,Canadian Union of Public Employees,111,canadian union of public employees
392,The University of Western Ontario,111,the university of western ontario
393,Canadian Association of Optometrists,111,canadian association of optometrists
394,Saskatchewan Power Corporation,111,saskatchewan power corporation
395,ExxonMobil Canada Ltd.,111,exxonmobil canada ltd.
396,Bayer CropScience Inc.,110,bayer inc.
397,Hydro-Quebec,110,hydro-quebec
398,Freedom Mobile Inc.,110,freedom mobile inc.
399,Capital One Bank (Canada Branch),109,capital one bank (canada branch)
400,Canopy Growth Corporation,109,canopy growth corporation
401,Canadian Trucking Alliance,109,canadian trucking alliance
402,CANADIAN FEDERATION FOR THE HUMANITIES AND SOCIAL SCIENCES,109,canadian federation for the humanities and social sciences
403,University of Regina,108,university of regina
404,Great Canadian Railtour Company Ltd.,108,great canadian railtour company ltd.
405,Canadian Foundation for Healthcare Improvement,108,canadian foundation for healthcare improvement
406,MDA Geospatial Services Inc.,107,mda geospatial services inc.
407,Eli Lilly Canada Inc.,107,eli lilly canada inc.
408,"Arterra Wines Canada, Inc.",107,arterra wines canada inc.
409,Mental Health Commission of Canada,107,mental health commission of canada
410,Nordion (Canada) Inc.,107,nordion
411,Concordia University,106,concordia university
412,National Police Federation,106,national police federation
413,Praxis Spinal Cord Institute,106,praxis spinal cord institute
414,British Columbia Maritime Employees Association,106,british columbia maritime employees association
415,Quebec Community Groups Network,106,quebec community groups network
416,Red Bull Canada Ltd.,105,red bull canada ltd.
417,Rio Tinto Aluminium,105,rio tinto
418,Federation of Canadian Municipalities,105,federation of canadian municipalities
419,Sanofi Pasteur Limited,105,sanofi pasteur
420,University of New Brunswick,105,university of new brunswick
421,Siemens Canada Limited,104,siemens canada limited
422,Canadian Automobile Dealers Association,103,canadian automobile dealers association
423,The Shipping Federation of Canada,103,the shipping federation of canada
424,Netflix Inc.,103,netflix
425,The National Benefit Authority,102,the national benefit authority
426,Flair Airlines Ltd.,102,flair airlines
427,Emirates Airline,102,emirates airline
428,Canadian Bar Association,102,canadian bar association
429,Association of Canadian Advertisers,101,association of canadian advertisers
430,The Explorers and Producers Association of Canada,101,explorers and producers association of canada
431,"MacDonald, Dettwiler and Associates Corporation",101,macdonald dettwiler and associates ltd
432,Saskatchewan Polytechnic,101,saskatchewan polytechnic
433,TekSavvy Solutions Inc.,100,teksavvy solutions inc
434,Equality Fund,100,equality fund
435,Montreal International Jazz Festival,100,montreal international jazz festival
436,Cystic Fibrosis Canada,99,cystic fibrosis canada
437,Amazon Corporate LLC,99,amazon
438,Aurora Cannabis Inc.,99,aurora cannabis inc.
439,"H&R Block Canada, Inc.",99,h & r block canada inc.
440,Teva Canada Limited,98,teva canada limited
441,Marathon Oil Canada Corporation,98,marathon oil canada corporation
442,Armenian National Committee of Canada,98,armenian national committee of canada
443,Canadian Agri-food Trade Alliance,98,canadian agri-food allliance
444,Repsol Oil & Gas Canada Inc.,98,repsol
445,AltaGas Ltd.,98,altagas ltd.
446,ONTARIO FEDERATION OF ANGLERS AND HUNTERS,98,ontario federation of anglers and hunters
447,LIFT Philanthropy Partners,97,lift philanthropy partners
448,EcoJustice,97,ecojustice
449,Nutrien Ltd.,97,nutrien limited
450,Sherritt International Corporation,97,sherritt international corporation
451,Toronto Region Board of Trade,96,toronto region board of trade
452,Communitech Corporation,96,communitech corporation
453,"Canadian Network for Maternal, Newborn and Child Health",96,"canadian network for maternal, newborn and child health"
454,Palette Skills Inc.,96,palette skills inc.
455,Element AI Inc.,95,element ai inc.
456,Tesla Motors Canada ULC,94,tesla motors
457,Canadian Shipowners Association,93,canadian shipowners association
458,Agnico Eagle Mines Limited,93,agnico eagle mines limited
459,Canadian Cattlemen's Association,93,canadian cattlemen's association
460,Genworth MI Canada,93,genworth financial (canada)
461,Potash Corporation of Saskatchewan Inc.,93,potash corporation of saskatchewan inc.
462,Ontario Centre of Innovation,93,ontario centre of innovation
463,GREENPEACE CANADA,92,greenpeace canada
464,REAL PROPERTY ASSOCIATION OF CANADA (REALPAC),92,real property association of canada (realpac)
465,The Professional Institute for the Public Service of Canada,92,the professional institute for the public service of canada
466,International Boreal Conservation Campaign (via contract with Ducks Unlimited Canada),92,international boreal conservation campaign
467,TimberWest Forest Corp.,92,timberwest forest corp.
468,Mylan Pharmaceuticals ULC,91,mylan pharmaceuticals ulc
469,Canadian  Sugar Institute,91,canadian sugar institute
470,Magna International Inc.,91,magna international inc.
471,Banff & Lake Louise Hospitality Association,91,banff & lake louise hospitality association
472,Canadian Association of Research Libraries,91,canadian association of research libraries
473,Right To Play,91,right to play
474,Breakfast Club of Canada,90,breakfast club of canada
475,Western Canadian Shippers Coalition,90,western canadian shippers coalition
476,CANADIAN ASSOCIATION OF OILWELL DRILLING CONTRACTORS,90,canadian association of oilwell drilling contractors
477,Kivalliq Inuit Association,89,kivalliq inuit association
478,Food Banks Canada,89,food banks canada
479,ENMAX Corporation,89,enmax corporation
480,Western Grain Elevator Association,89,western grain elevator association
481,AddEnergie,89,addenergie
482,AstraZeneca Canada Inc.,88,astrazeneca canada
483,Canadian Agri-Food Policy Institute,88,canadian agri-food policy institute
484,Vancouver Art Gallery,88,vancouver art gallery
485,Automotive Industries Association of Canada,88,automotive industries association of canada
486,Apotex Inc.,88,apotex
487,The Canadian Copyright Licensing Agency,87,the canadian copyright licensing agency
488,Aluminum Association of Canada,87,aluminium association of canada
489,Bear Head LNG,87,bear head lng
490,CNOOC Petroleum North America ULC,87,cnooc
491,Canadian Cardiovascular Society,87,canadian cardiovascular society
492,Harbo Technologies Ltd.,86,harbo technologies ltd.
493,Canadian Propane Association,86,canadian propane association
494,Ericsson Canada Inc.,85,ericsson canada inc.
495,PORTER AIRLINES,85,porter airlines
496,The University of Winnipeg,85,university of winnipeg
497,Canadian Generic Pharmaceutical Association,85,canadian generic pharmaceutical association
498,Canadian Microelectronics Corporation,85,canadian microelectronics corporation
499,MTS Inc.,84,mts inc.
500,Raytheon International Incorporated,84,raytheon integrated defense systems
501,Farmers of North America,84,farmers of north america
502,British Columbia Maritime Employers Association,84,british columbia maritime employees association
503,Wilfrid Laurier University,83,wilfrid laurier university
504,International Justice Mission Canada,82,international justice mission canada
505,Support Ontario Youth,82,support ontario youth
506,Havana House Cigar and Tobacco Merchants Limited,82,havana house cigar and tobacco merchants limited
