string0,string1
Florida International University,FLORIDA INTERNATIONAL UNIVERSITY
Pershing Square Capital Management,"Pershing Square Capital Management, L.P."
K2 Solutions,K2 Solutions Inc.
Alpine Air Express,ALPINE AIR EXPRESS
WR Grace & Co,W. R. GRACE & CO
Credit Suisse Securities,CREDIT SUISSE SECURITIES USA
Ocwen Loan Servicing,OCWEN LOAN SERVICING LLC
Teen Screen Center- Mental Health Chckup,TeenScreen National Center for Mental Health Checkups
HCR Manor Care,HCR MANOR CARE
MJ Connors Consulting,"CONNORS CONSULTING, M J"
American Electric Power Service Co,AMERICAN ELECTRIC POWER SERVICE CORP
Capstone International,CAPSTONE INTL
Triangle Assoc,"Triangle Associates, Inc."
Home Depot,HOME DEPOT
"Murray, Samuel H","MURRAY, SAMUEL H."
First Command Financial Planning,"FIRST COMMAND FINANCIAL PLANNING, INC"
Polly Klaas Foundation,POLLY KLAAS ORGANIZATION
Lawyers for Civil Justice,LAWYERS FOR CIVIL JUSTICE
Arizona Chemical,ARIZONA CHEMICAL CO
Montana Refining Co,"Montana Refining Company, Inc"
Scioto Properties,SCIOTO PROPERTIES LLC
Bricker & Eckler,BRICKER & ECKLER
Rosen Group,ROSEN GROUP
AEA Technology,AEA TECHNOLOGY
"Wilson, Elser et al","WILSON, ELSER, MOSKOWITZ, EDELMAN & DICKER LLP"
MRC Consulting,"MRC CONSULTING, LLP"
Open Range Communications,"Open Range Communications, Inc"
E*TRADE Group,E*TRADE Financial Corporation
Cognizant Technology Solutions,COGNIZANT TECHNOLOGY SOLUTIONS - U S CORPORATION
Managed Funds Assn,MANAGED FUNDS ASSN
Assn for Enterprise Opportunity,AEO
US Education Finance Corp,US EDUCATION FUNDING GROUP
"Lohmann, Larry",LARRY LOHMANN
Weather Risk Management Assn,WEATHER RISK MANAGEMENT ASSOCIATION
DC Catholic Conference,D.C. Catholic Conference
Intl Institute of Ammonia Refrigeration,INTL INSTITUTE OF AMMONIA REFRIGERATION
Willard Group,THE WILLARD GROUP
Borusan Mannesmann,Borusan Mannesmann Boru Sanayi ve Ticaret A.S.
Koch Industries Public Sector,KOCH COMPANIES PUBLIC SECTOR LLC
Aventis Pharmaceuticals,AVENTIS PHARMACEUTICAL INC
Rogers American Cable Systems,ROGERS AMERICAN CABLE SYSTEMS
GenOn Energy,"GenOn Energy, Inc."
Patient Services Inc,"Patient Services, Inc."
Exelon Corp,Exelon Business Services LLC
Club for Growth State Action,CLUB FOR GROWTH STATE ACTION
Van Ness Feldman,VAN NESS FELDMAN
Zippo Manufacturing,Zippo Manufacturing Company
"Buchanan, Ingersoll & Rooney","Buchanan Ingersoll, P.C."
Hydro One,Hydro One Limited
Colex & Assoc,COLEX AND ASSOCIATES
American Autoimmune Related Diseases Asn,The American Autoimmune Related Diseases Association
JC Health Strategies,"JC HEALTH STRATEGIES, LLC"
Agri Partners International,AGRIPARTNERS
Al Flores Jr & Assoc,LAW OFFICES OF AL FLORES JR ASSOCIATES P.C.
Alan Mauk Assoc,"Alan Mauk Associates, Ltd"
Sequal Technologies,"SEQUAL TECHNOLOGIES, INC"
Assurant Inc,ASSURANT
Metrix Technologies,METRIX TECHNOLOGIES INC
McGuiness & Holch,MCGUINESS & HOLCH
Spiegel Inc,EDDIE BAUER CO
Ship Agents Coalition,The Ship Agents Coalition
JHL Co,JHL Company
Fibrebond Corp,FIBREBOND CORP
Nsf International,NSF INTERNATIONAL
PureSpectrum Inc,"PureSpectrum, Inc."
One Sky,1Sky
McDonald's Corp,McDONALD'S CORPORATION
US Smokeless Tobacco,"UST, INC"
National Assn of Workforce Boards,National Association of Workforce Boards
Reynolds American,RAI Services Company
RA Burton Consulting,"RA Burton Consulting, LLC"
Hershey Co,HERSHEY CO
Total SA,TOTAL S A
Natl Assn of Conservation Districts,NATL ASSN OF CONSERVATION DISTRICTS
Consolidated Edison of New York,CONSOLIDATED EDISON CO OF NEW YORK
WINGS Inc,"WINGS, INC."
Anjon Biologics,"Anjon Biologics, Inc."
Legislative Strategies Group,LEGISLATIVE STRATEGIES GROUP
Telecontinuity,TELECONTINUITY
"Carter, Joseph L Jr","Joseph Carter, Jr."
Ventec Life Systems,"Ventec Life Systems, Inc."
Natl Coalition on E-Commerce & Privacy,National Business Coalition on E-Commerce and Privacy
Nour USA,NOUR USA LTD
Beacon Capital Partners,"Beacon Capital Partners, LLC"
Foster Wheeler,FOSTER WHEELER CORP
International Truck & Engine,INTL TRUCK & ENGINE CORP
Oracle Corp,Oracle Corporation
ConAgra Brands,"CONAGRA BRANDS, INC."
"Bryant, Edward",Ed Bryant
Pacific-Sierra Research,PACIFIC-SIERRA RESEARCH CORP
Dxi,DXI
Center for Disability Services,CENTER FOR DISABILITY SERVICES
Illinois Road & Transport Builders Assn,ILLINOIS ROAD & TRANSPORTATION BUILDERS ASSN
JK Wilson LLC,"JK Wilson, LLC"
ACE INA,ACE INA HOLDINGS
Columbus Public Schools,COLUMBUS PUBLIC SCHOOLS
Caritas Good Samaritan Medical Center,CARITAS GOOD SAMARITAN MEDICAL CENTER
Geooptics Inc,"GeoOptics, Inc."
Science Museum of Minnesota,SCIENCE MUSEUM OF MINNESOTA
VitalWear,"VitalWear, Inc."
Flytecomm Inc,"FLYTECOMM, INC"
RH energytrans,"RH energytrans, LLC"
"Malone, John",John Malone
Alliance of Merger & Acquisition Advisors,The Alliance of Merger & Acquisition Advisors
Beehive Telephone Co NV,Beehive Telephone Company Inc. NV
Sturman Industries,"STURMAN INDUSTRIES, INC"
Heartland Communications & Management,HEARTLAND COMMUNICATIONS & MANAGEMENT
Munich Reinsurance America,"Munich Reinsurance America, Inc."
Columbia Helicopters,"Columbia Helicopters, Inc."
Smokeless Tobacco Council,SMOKELESS TOBACCO COUNCIL
Ambrose Employer Group,"Ambrose Employer Group, LLC"
API Food Quality,API FOOD QUALITY INC
Alameda Contra Costa Transit District,Alameda-Contra Costa Transit District
NumbersUSA.com,NUMBERSUSA
Geothermal Exchange Organization,The Geothermal Exchange Organization
Wave 7 Optics,WAVE 7 OPTICS
Helicopter Assn International,HELICOPTER ASSOCIATION INTERNATIONAL
Amyris Biotech,AMYRIS BIOTECHNOLOGIES INC
Airspan Networks,Airspan Networks Inc
Bear Metallurgical,BEAR METALLURGICAL CORP
Riverside Publishing,RIVERSIDE PUBLISHING CO
"Sibley, David","SIBLEY, DAVID"
"Town of Windermere, FL","TOWN OF WINDERMERE, FL"
Destination Imagination,DESTINATION IMAGINATION INC
Applied Research Assoc,Applied Research Associates
Ncgs Laboratories,"NCGS LABORATORIES, INC."
Servicemaster Co,THE SERVICEMASTER COMPANY
Philips Electronics,PHILIPS ELECTRONICS NV
Republic Parking,REPUBLIC PARKING
Franklin Pierce University,FRANKLIN PIERCE COLLEGE
James Hardie Building Products,JAMES HARDIE BUILDING PRODUCTS INC
Ohio Reservation Development,"Ohio Reservation Development, LLC"
National Trust Community Investment Corp,National Trust Community Investment Corporation
"City of Signal Hill, CA","CITY OF SIGNAL HILL, CA"
Continental Consulting Group,CONTINENTAL CONSULTING GROUP CORPORATION
Spina Bifida Assn of America,SPINA BIFIDA ASSOCIATION OF AMERICASPINA BIFIDA ASSOCIATION OF AMERICA
Association of Bermuda Insurers & Reinsurers,ASSN OF BERMUDA INSURERS & REINSURERS
California Sealift Terminals,CALIFORNIA SEALIFT TERMINALS
"Crowley, Geoffrey",Geoffrey Crowley
Taxpayers Network,TAXPAYERS NETWORK
Homeplate Group,"HOMEPLATE GROUP, INC"
"Olaerts, Nick","OLAERTS, NICK"
Clorox Corp,Clorox Corporation
"Patricelli, Tom",Tom Patricelli
Quantlab Financial,"Quantlab Financial, LLC"
Colorado Hospital Assn,COLORADO HOSPITAL ASSOCIATION
Invencom Llc,"INVENCOM, LLC"
Education Consortium,EDUCATION CONSORTIUM CO
St Francis Medical Group,ST FRANCIS MEDICAL GROUP
"Middleton Township, NJ",Middletown Township
"City of Hallandale Beach, FL",City of Hallandale Beach
Southern Co,"SOUTHERN COMPANY SERVICES, INC."
Alcoa Inc,Aluminum Company of America
Northern Illinois University,NORTHERN ILLINOIS UNIV BOARD OF TRUSTEES
"City of Buffalo, NY",BUFFALO ECONOMIC RENAISSANCE CORP
Progeny Systems,PROGENY SYSTEMS CORPORATION
Cablevision SA,Cablevision S.A.
Nooksack Indian Tribal Council,Nooksack Indian Tribe
Arcelor SA,ARCELOR SA
Shock Tube Systems,SHOCK TUBE SYSTEMS
Southeastern Universities Research Assn,SOUTHEASTERN UNIVERSITIES RESEARCH ASSN
Textron Inc,"TEXTRON, INC"
American Medical Rehab Providers Assn,AMERICAN MEDICAL REHABILITATION PROVIDERS
CCA of Tennessee,"CCA of Tennessee, LLC"
Food Research & Action Center,FOOD RESEARCH AND ACTION CENTER
Newmont Mining,NEWMONT MINING CORPORATION
Fair Congressional Task Force,FAIR CONGRESSIONAL TASK FORCE
Allied Domecq Spirits & Wine,ALLIED DOMEQ SPIRITS & WINE
"City of Madison, AL",CITY OF MADISON ALABAMA
Baptist Child & Family Services,BAPTIST CHILD & FAMILY SERVICE
Dairy Farmers of America,DAIRY FARMERS OF AMERICA INC
National Hospice & Palliative Care Org,NATL HOSPICE & PALLIATIVE CARE ORGANIZATION
Freeport-McMoRan,"Freeport-McMoRan, Inc"
Equitable Production,EQUITABLE PRODUCTION COMPANY
Tyumen Oil,TYUMEN OIL CO
"City of Rock Hill, SC","CITY OF ROCK HILL, SOUTH CAROLINA"
Assn of Womens Business Centers,ASSN OF WOMENS BUSINESS CENTERS
Boeing Co,Boeing
Marathon Pharmaceuticals,"Marathon Pharmaceuticals, LLC"
HarborGard LLC,"HarborGard,LLC"
Great Kids Inc,Great Kids Inc.
The MENTOR Network,MENTOR NETWORK
Stirling Strategic Services,"Stirling Strategic Services, LLC"
Baxter International,Baxter International Inc
"City of Center Point, AL","CITY OF CENTER POINT, AL"
Public Affairs Resources,PUBLIC AFFAIRS RESOURCES
International Assn of Assembly Managers,INTERNATIONAL ASSN OF ASSEMBLY MANAGERS
Check Point Software Technologies,CHECK POINT SOFTWARE TECHNOLOGIES INC
"American Academy of Allergy, Asthma & Immunology","AMERICAN ACADEMY OF ALLERGY, ASTHMA, & IMMUNOLOGY"
Aveos Fleet Performance,Aveos Fleet Performance Inc.
Amexum United Alliance,AMEXUM United Alliance
Life Medical Technologies,"Life Medical Technologies, Inc."
Beacon Interactive,Beacon Interactive Systems
Haledyne LLC,"Haledyne, LLC"
Kraft Foods,ALTRIA CORPORATION
RGS Enterprises,Ronald Sykes
Hill-Rom Co,HILL-ROM CO
"Coover, Darrell","COOVER, DARRELL"
Industrial and Crane Services,Industrial and Crane Services Inc.
American Sail Training Assn,AMERICAN SAIL TRAINING ASSN
McPherson Group,McPherson Group LLP
Molecular Imprints,MOLECULAR IMPRINTS
Clover Park School District,CLOVER PARK SCHOOL DIST
Solvay America,"SOLVAY NORTH AMERICA, LLC"
Strategic Federal Affairs,STRATEGIC FEDERAL AFFAIRS
Delta Development Group,DELTA DEVELOPMENT
Natl Assn of Beverage Retailers,NATL ASSN OF BEVERAGE RETAILERS
Saga Communications,"SAGA COMMUNICATIONS, INC."
Regeneration Technologies,REGENERATION TECHNOLOGIES INC
Community Health Systems,COMMUNITY MEDICAL CENTER
Prince William Sound Science Center,PRINCE WILLIAM SOUND SCIENCE CENTER
National Alliance for Public Charter Schools,National Alliance of Public Charter School
Sky Research,SKY RESEARCH INC
ACS Defense,"ACS DEFENSE, INC"
Production Technology Inc,"PRODUCTION TECHNOLOGY, INC"
Joel M Dalkin Assoc,"DALKIN ASSOC, JOEL M."
Foothill Transit,FOOTHILL TRANSIT
Ramsell Holding Corp,RAMSELL HOLDING CORP
"Sorba, Frank","SORBA, FRANK"
Heritage Forest Campaign,HERITAGE FOREST CAMPAIGN
Kentucky Community/Technical College,KENTUCKY COMMUNITY & TECHNICAL COLLEGE SYSTEM
Skagit System Cooperative Enterprises,SKAGIT SYSTEM COOPERATIVE ENTERPRISES
Alternative Investment Management Assn,Alternative Investment Management Association
Hecia Mining,Hecia Mining Co.
Bioset Native Technology,BIOSET NATIVE TECHNOLOGY
Business-Governement Assoc,BUSINESS-GOVERNEMENT ASSOC
AFLAC Inc,AFLAC INCORPORATED
UNUMProvident,UNUM PROVIDENT CORP
Clark & Assoc,CLARK & LYTLE
International Power,International Power plc
Whitworth College,WHITWORTH UNIVERSITY
Travis Lumber Co,"Travis Lumber Company, Inc."
Cytimmune Sciences,CYTIMMUNE SCIENCES
National Newspaper Assn,NATL NEWSPAPER ASSN
Genesis HealthCare,Genesis Healthcare Inc.
Danish Container Supply,DANISH CONTAINER SUPPY
Fountain Quail Energy Services,"Fountain Quail Energy Services, LLC"
Logis Tech Inc,Logis Tech
Citizens for an Alternative Tax System,CITIZENS FOR AN ALTERNATIVE TAX SYSTEM
Expedia Inc,EXPEDIA
Gannett Fleming Inc,GANNETT FLEMING
EdisonLearning Inc,"EDISON SCHOOLS, INC."
"Polsinelli, White et al",POLSINELLI WHITE VARDEMAN & SHALTON
Darling International,DARLING INTERNATIONAL INC
EDF Renewable Energy,"enXco, Inc."
California Water Service Group,CALIFORNIA WATER SERVICE CO
Harris Firm,HARRIS FIRM
American Optometric Assn,AMERICAN OPTOMETRIC ASSN
Vizio Inc,"VIZIO, Inc."
Cardiology Advocacy Alliance,CARDIOLOGY ADVOCACY ALLIANCE
American Conservative Union,AMERICAN CONSERVATIVE UNION
ValueOptions Inc,VALUE OPTIONS
"University of St Francis, IN",UNIVERSITY OF SAINT FRANCIS
Picerne Military Housing,"Picerne Military Housing, LLC"
St Vincents Hospital,SAINT VINCENTS HOSPITAL
Beam Global Spirits & Wine,BEAM GLOBAL SPIRITS & WINE
Jorden Burt LLP,JORDEN BURT LLP
State Street Bank & Trust,STATE STREET BANK AND TRUST COMPANY
Puerto Rico Electric Power Authority,PUERTO RICO ELECTRIC POWER AUTHORITY
Novartis Pharmaceuticals,NOVARTIS PHARMACEUTICALS CORP
Instant-Off Inc,"Instant-Off, Inc."
Defense Group,"DEFENSE GROUP, INC"
MGP Ingredients,MGP INGREDIENTS
United Spinal Assn,United Spinal Association
King.com Ltd,King
American Horticulture Industry Assn,American Nursery & Landscape Association
"City of Glen Cove, NY",GLEN COVE-NY CITY OF
DeKieffer & Horgan,DEKIEFFER & HORGAN
Smiths Detection/Edgewood,"SMITHS DETECTION - EDGEWOOD, INC."
"City of Luverne, AL",CITY OF LUVERNE
"Arapahoe County, CO",ARAPAHOE COUNTY COLORADO
Houston Community College System,HOUSTON COMMINTY COLLEGE SYSTEM
"Chrupcala, Dorthea","CHRUPCALA, DORTHEA"
Symonds NA,SYMONDS NA
American Mobile Satellite Corp,AMERICAN MOBILE SATELLITE CORP
Home Access Health,HOME ACCESS HEALTH
"Village of Angel Fire, NM","Village of Angel Fire, New Mexico"
Ch2m Hill,"Halcrow, Inc."
Evans International,EVANS INTL
Machinery Corp of America,MACHINERY CORP OF AMERICA
XM Satellite Radio,XM SATELLITE RADIO INC
International Registries,"International Registries, Inc."
Moon Express,"Moon Express, Inc."
Devault & Assoc,DEVAULT AND ASSOCIATES
Burstein Technologies,BURSTEIN TECHNOLOGIES
Western Strategies,Quinn Thomas Public Affairs
"Cochran, Andrew",Andrew Cochran
Polyester Fiberfill Coalition,POLYESTER FIBERFILL COALITION
"City of Hoonah, AK","CITY OF HOONAH, AK"
Trust Insurance,TRUST INSURANCE
International Crisis Group,INTERNATIONAL CRISIS GROUP
North American Die Casting Assn,NORTH AMERICAN DIE CASTING ASSOCIATION
Lundbeck Inc,Lundbeck Inc.
Wal-Mart Stores,"Wal-Mart 701 8th Street, NW #200, Washington, DC 20001"
Knights of Columbus,KNIGHTS OF COLUMBUS
Morris Communications,Morris Communications Corporation
BearingPoint Inc,BEARINGPOINT
Colusa Basin Drainage District,COLUSA BASIN DRAINAGE DIST
Weinberg Investments,WEINBERG INVESTMENTS
"Forrest, Julianne","j4 Strategies, Inc. previously registered as JuliAnne H Forrest"
NewPage Corp,NewPage Corporation
Martin F McMahon & Assoc,"MCMAHON & ASSOC, MARTIN F."
Sextant Holdings,SEXTANT HOLDINGS LLC
"City of Santa Monica, CA","THE CITY OF SANTA MONICA, CALIFORNIA"
Kendall & Assoc,KENDALL & ASSOC
Dupont Aerospace,DUPONT AEROSPACE INC
Troia Therapeutics,Troia Therapeutics Inc.
Torch Rig Services,TORCH RIG SERVICES
Washington Group International,WASHINGTON GROUP
Housing Works,"HOUSING WORKS, INC."
West Virginia Medical Institute,WEST VIRGINIA MEDICAL INSTITUTE
Nokia USA,Nokia of America Corporation
National Council of Jewish Women,NATL COUNCIL OF JEWISH WOMEN
Salton Inc,SALTON INC
American Meat Institute,AMERICAN MEAT INSTITUTE
Senne Consulting,"Senne Consulting, LLC"
National Assn of Realtors,NATIONAL ASSOCIATION OF REALTORS
Hoffmann-La Roche,F HOFFMAN-LA ROCHE LTD AND ITS AFFILIATES
Katten Muchin Zavis,KATTEN MUCHIN ZAVIS
American Psychological Assn Practice Org,AMERICAN PSYCHOLOGICAL ASSOC PO
Indoor Tanning Assn,INDOOR TANNING ASSN INC
El Paso Natural Gas,EL PASO NATURAL GAS COMPANY
Air Methods Corp,AIR METHODS CORP
Education Legislative Services,EDUCATION LEGISLATIVE SERVICES
Jefferson Consulting Group,"JEFFERSON CONSULTING GROUP, LLC"
Coalition To Insure Against Terrorism,COALITION TO INSURE AGAINST TERRORISM
"Best, Best & Krieger",Best Best & Krieger LLP
Elan Pharmaceuticals,ELAN PHARMACEUTICALS
American Lands Alliance,AMERICAN LANDS ALLIANCE
Ad Hoc Deep Water Expl/Production Cltn,Ad Hoc Deep Water Exploration and Production Coalition
American Civil Liberties Union,"AMERICAN CIVIL LIBERTIES UNION, WASHINGTON LEGISLATIVE OFFICE"
Nashville Metro Development/Housing Agcy,"NASHVILLE-TN, METROPOLITAN DEVELOPMENT AND HOUSING AGENCY"
"Skiles, David",David Skiles
Natl Assn College/Univ Business Officers,NACUBO
John R Ale & Assoc,"ALE & ASSOC, JOHN R."
American Cancer Society/South Atlantic,"AMERICAN CANCER SOCIETY, SOUTH ATLANTIC DIVISION"
Cook Group,"COOK GROUP, INC."
Anheuser-Busch,"Anheuser-Busch Companies, Inc"
"DiStefano, David",Mr. David DiStefano
Aon Consulting,AON CONSULTING INC
Apartment Investment & Management Co,Apartment Investment and Management Company
"Hill, Wanda","HILL, WANDA"
Montclair State University,MONTCLAIR STATE UNIV
Meritor Automotive,ARVINMERITOR INC
Ferguson Strategies,Ferguson Strategies LLC
"Kersten, James B",James Kersten
Westinghouse Electric,WESTINGHOUSE ELECTRIC CORP
Robert A Roe Assoc,Robert A. Roe & Associates
Cedar Falls Utilities,CEDAR FALLS UTILITIES
Micromedex Inc,MICROMEDEX INC
Pauley Management,"Pauley Management, Inc."
University of Maryland Biotech Institute,UNIVERSITY OF MARYLAND BIOTECHNOLOGY INSTITUTE
Nabi Biopharmaceuticals,NABI BIOPHARMACEUTICALS
Jerry's Artarama,Jerry's Artarama Inc.
Federation of Indep Illinois Colls/Univs,Federation of Independent Illinois Colleges and Universities
"Bergen County, NJ",COUNTY OF BERGEN
American Clinical Laboratory Assn,AMERICAN CLINICAL LABORATORY ASSOCIATION
American Academy of Family Physicians,AMERICAN ACADEMY OF FAMILY PHYSICIANS
B&M Engineering,B&M ENGINEERING
American Defense Systems,"American Defense Systems, Inc."
Natl Center for Manufacturing Sciences,NATL CENTER FOR MANUFACTURING SCIENCES
American Medical Systems,AMERICAN MEDICAL SYSTEMS
Cobham Management Services,Cobham Management Services Inc.
Center for the Study of Popular Culture,CENTER FOR THE STUDY OF POPULAR CULTURE
Philip Morris Management,ALTRIA CORPORATE SERVICES INC
Puerto Rico Senate Federal Affairs Cmte,"SENATE OF PUERTO RICO, FEDERAL AFFAIRS COMM"
Mosaic Co,THE MOSAIC COMPANY
Rollins Truck Leasing,ROLLINS TRUCK LEASING CORP
Cardon healthcare Network,CARDON HEALTHCARE NETWORK
Providence St Joseph Health,Cornerstone Government Affairs obo Providence St. Joseph Health
Associated Industries of Massachusetts,ASSOCIATED INDUSTRIES OF MASSACHSUETTS
Barclays,BARCLAYS PLC & ITS US AFFILIATES
Institute for the Future,INSTITUTE FOR THE FUTURE
Langston in the 21st Century,LANGSTON IN THE 21ST CENTURY
National Wholesale,NATIONAL WHOLESALE COMPANY
Conwood Co,Conwood Company LLC
Spray Systems Environmental,SPRAY SYSTEMS ENVIRONMENTAL
Center for Inquiry,CENTER FOR INQUIRY OFFICE OF PUBLIC POLICY
Meade Instruments,MEADE INSTRUMENTS CORPORATION
Edgewater Industries,EDGEWATER INDUSTRIES INC
Brickstreet Mutual Insurance,Brickstreet Mutual Insurance Company
American Nursery & Landscape Assn,AMERICAN NURSERY & LANDSCAPE ASSN
Jones & Assoc,Jones and Associates
Portable Power Equipment Mfrs Assn,PORTABLE POWER EQUIPMENT MANUFACTURERS ASSN
G Gordon Gaines Inc,"GAINES, G. GORDON INC"
Filtrona PLC,FILTRONA PLC
Aegon USA,"AEGON USA, INC."
"Union County, NJ",Union County
St Louis County Economic Council,Economic Council of St. Louis County
Capitol Direct Marketing,"CDM, LLC"
Caritas Christi Health Care System,CARITAS CHRISTI HEALTH CARE SYSTEM
Education Development Center,"EDUCATION DEVELOPMENT CENTER, INC."
EMCOR Group,"EMCOR Group, Inc."
Kidney Cancer Assn,Kidney Cancer Association
Electro-Mariner,ELECTRO- MARINER
"Whitaker, Julian M","WHITAKER, JULIAN M."
Bon Secours Baltimore Health System,"BON SECOURS BALTIMORE HEALTH SYSTEM, INC."
Haka Inc,HAKA
Environmental Design & Construction LLC,Environmental Design and Construction LLC
WV-PP Towne Center,"WV-PP TOWNE CENTER, LP"
Genesee County Drain Commissioner,GENESEE COUNTY DRAIN COMMISSIONER
Los Angeles Dept of Water & Power,Los Angeles Department of Water & Power
US Preventive Medicine,U S PREVENTIVE MEDICINE
KD Advocacy & Consulting,"KD Advocacy and Consulting, LLC"
Milton S Eisenhower Foundation,MILTON EISENHOWER FOUNDATION
Dunavant Enterprises,"Dunavant Enterprises, Inc."
Anheuser-Busch,ANHEUSER-BUSCH
Clearing House Payments Co,The Clearing House Payments Company L.L.C.
Easton Hospital,EASTON HOSPITAL
Allsup Inc,ALLSUP
Housing Partnership Network,"The Housing Partnership Network, Inc."
Kaiser Aluminum & Chemical,KAISER ALUMINUM & CHEMICAL CORP
"Rappaport, Renee",Renee Rappaport
ASTAR Air Cargo,"ASTAR Air Cargo, Inc."
"Hill, David",Mr. David Hill
T Com LP,T COM L P
Heathwatch Technologies,HEALTHWATCH TECHNOLOGIES
Wal-Mart Stores,Walmart
Sealed Air,"Sciaky, Inc."
American Hotel & Lodging Assn,American Hotel & Lodging Association
Nav Com Defense Electronics,NAV COM DEFENSE ELECTRONICS
Lewis Operating,LEWIS OPERATING CORPORATION
Maddox Strategies,"Maddox Strategies, LLC"
Beef & Lamb New Zealand,Beef + Lamb New Zealand
Microsoft Corp Industry Unit,MICROSOFT CORPORATION INDUSTRY UNIT
Michelman & Robinson,MICHELMAN & ROBINSON
Indianapolis Industrial Production,INDIANAPOLIS INDUSTRIAL PRODUCTION
Arthur Andersen & Co,ARTHUR ANDERSEN
Southeast GA Health System,SOUTHEAST GA HEALTH SYSTEM
"Ball, William L",Mr. William Ball
ExOne Corp,EXONE CORPORATION
1101-1125 Hudson Street,1101 - 1125 HUDSON STREET
Northern Great Plains,"NORTHERN GREAT PLAINS, INC."
"Prins, Curtis A","PRINS, CURTIS A."
JTT Assoc,JTT ASSOCIATES
East-West University,EAST-WEST UNIV
Shell Exploration & Production,Shell Exploration & Production Company
McKesson HBOC,MCKESSON CORP
Grassroots Solutions,Grassroots Solutions Inc.
VGM Group,"VGM Group, Inc."
ChildHelp,Childhelp USA
Alliance for Competitive Electricity,ALLIANCE FOR COMPETITIVE ELECTRICITY
Airports Council International,Airports Council International--North America
Pueblo of San Juan,PUEBLO OF SAN JUAN
Kodiak Kenai Cable Co,KODIAK-KENAI CABLE CO LLC
Puget Sound Energy,PUGET SOUND POWER & LIGHT CO
First Marblehead Corp,FIRST MARBLEHEAD CORP
Radiation Monitoring Devices Inc,RADIATION MONITORING DEVICES
Accenture Federal Services,ACCENTURE FEDERAL SERVICES LLC
Forest Laboratories,Forest Labs
Independence Square Foundation,INDEPENDENCE SQUARE FOUNDATION
Financial Industry Regulatory Authority,FINRA FINANCIAL INDUSTRY REGULATORY AUTHORITY
Rockdale County Board of Commissioners,ROCKDALE COUNTY BOARD OF COMMISSIONERS
