,search_string,name,score
3792,ELECTRONIC SUB ASSEMBLY MFG,Electronic Data Systems Corp,0.9499125309636786
5619,TUCKER ACOUSTICAL PRODUCTS INC,Tucker Anthony Sutro,0.9498820311554358
469,INDEPENDENT LUBRICANT MFG ASSN,Independent Fact Ltd,0.9496777801736141
7642,"Market Transport, Ltd",Market America Inc,0.9494107380498129
1526,THOMAS PIRINELLI,Thomas Industries Inc.,0.9493246150125066
4098,New York Gas Group,New York St Elec & Gas Corp,0.9491896634694995
3165,Independent Liquid Terminals Association,Independence Square Income,0.9489201102922327
5373,MARKETPLACE,Market Concepts International,0.9488368600881404
1482,PENNSYLVANIA LUMBERMENS MUTUAL INS CO,Pennsylvania Enterprises Inc,0.9485313045750936
6091,Northwest Labor and Employment Office,Northwest Airlines Corp,0.9484533800788528
4091,NEW YORK SECTION AM WATER WORKS ASSN,New York St Elec & Gas Corp,0.9480592240109713
5544,BALLARD BLDG COMPONENTS INC,Ballard Power Systems Inc,0.9480020455349326
6220,Kenneth Cornell Kopsco,Kenneth Cole Productions Inc.,0.9478821537969389
1306,INDIANA SOFT DRINK ASSN,Indiana Gas Co Inc,0.9478148902757182
8664,Northeast Chapter of AAAE,Northeast Bancorp,0.9477849902911976
2677,MARSHALL COUNTY BOARD OF PUBLIC UTILITIES,Marshall & Ilsley Corp,0.9476921622774646
7017,"Interstate Logos, Inc.",Interstate Power & Light Co,0.9476104784179049
3605,AEGIS CONTAINER,Regis Corp,0.9475334747256279
9232,Barrick Goldstrike Mines Inc.,Barrick Gold Inc,0.9473468548660802
4039,PUBLIC SVC ENTERPRISE AND GP,Public Service Co Of Colo,0.9472255944860087
2640,Village of Elmwood Park,Village Super Market Inc,0.9471927128549457
8695,Pacific Eastern Express,Pacific Gateway Properties Inc/MD,0.9471460010475932
8863,Harborlite Corporation,Harbor Florida Bancshares Inc,0.9470857754828376
5335,Virginia Power,Virginia Commonwealth Financial,0.9467916940324117
7836,Federal Waste Regulatory Improvement Coalition,Federal Data Corp,0.9467896209775947
9225,Environmental Business Action Coalition,Environmental Tectonics Corp,0.9467380992370883
2874,PENNSYLVANIA STATE REPRESENTATIVE,Pennsylvania Real Estate Investment Trust,0.9467043374163892
8729,Global Operations Group,Global Health Sciences Inc,0.946702209443597
3503,Dean Food Company,Dean Foods Co,0.9466422272728623
1612,PERFORMANCE FOODS OF WISCONSIN INC,Performance Food Group Co,0.9465671846507324
1627,ANHEUSER BUSCH CO INC AND UNITED PARCEL SVC INC,Anheuser-Busch Companies Inc,0.9464232971451509
2190,GOLDEN AGE NURSING HOME,Golden Telecom Inc,0.9463516481734833
8925,"Golden Spread Electric Cooperative, Inc.",Golden Northwest Aluminum,0.9461637071020703
467,"California Cartage Company, Inc",California Beach Restaurant,0.9461091403720588
1483,Pennsylvania Department of Environmental Protection,Pennsylvania Enterprises Inc,0.9459934117558894
2807,FORMULA CORP,Formula Systems (1985) Ltd,0.9454611647221328
9358,Community Asphalt Corp.,Community Bancorp Inc,0.945395376729365
1617,ANHEUSER BUSCH INC,Anheuser-Busch Companies Inc,0.9453469608072963
5550,EASTMAN CHEM,Eastman Chemical Co,0.9451930435176026
5399,NORTHWESTERN PLATING WORKS INC,NorthWestern Corp,0.9451282972711923
8013,Advanced,Advanced Oxygen Technology,0.9450261672878726
644,CALIFORNIA MOVING AND STORAGE ASSN,California Software Corp,0.9449757308443963
4800,POWER CLEANING EQUIP INC,Power Plus Corp,0.944950714542143
7395,Environmental Services Department Commonwealth Edison Company,Environmental Safeguards Inc,0.9447542160605531
5067,AUTOMATIC MACH PRODUCTS CO,Automatic Data Processing Inc.,0.9446852951210579
2936,GLOBAL ENVIRON HEALTH AND SAFETY,Global Election Systems Inc,0.9446165457597769
8016,Advanced Notice of Proposed Rulemaking for MTBE,Advanced Photonix Inc.,0.944607797912634
5187,INDEPENDENCE PLATING CORP,Independence Community Bank Corp.,0.9444968461816479
3528,PENNSYLVANIA FOOD MERCHANTS ASSN,Pennsylvania Electric Co,0.9444505280163241
2121,GREAT LAKES PACKAGING CORP,Great Lakes Aviation Ltd,0.9443336461164396
8658,Environmental Justice Resource Center,Environmental Credits Ltd,0.9442690060953588
7111,"Applied Safety and Ergonomics, Inc.",Applied Magnetics Corp,0.9441999307821514
7739,Occidental Chemical Corporation,Occidental Petroleum Corp,0.9440893164089307
3128,CONNECTICUT OCCUP HEALTH NETWORK,Connecticut Light & Power Co,0.9440657976047631
7567,"Environmental Defense Technologies, Inc.",Environmental Elements Corp,0.9437471200263193
1625,ANHEUSER BUSH INC,Anheuser-Busch Companies Inc,0.9433307653065892
8555,Celanese Chemicals,Celanese Canada Inc,0.9432715077781861
6094,Northwest Airlines Airport Operations,Northwest Airlines Corp,0.9432308959462093
4930,CONTINENTAL CABINETS MFG INC,Continental Home HealthCare Ltd,0.9431743838408652
7803,Louisville Water Company,Louisville Gas And Electric,0.9430471494517264
6227,ADVANCE TECH PRODUCTS INC,AdvanSource Biomaterials Corp,0.9430099059934629
4414,PEERLESS BIG APPLE INC,Peerless Tube Co,0.942910881410201
7076,First American Bulk Carrier Corporation,First American Scientific Corp,0.9428909972804539
6229,Consumers Union,Consumers Financial Corp,0.9428739451173327
1405,HANNAFORD BROS CO,Hannaford Brothers Co,0.9427035348204548
1967,ADVANTAGE LOGISTICS,Advantage Life Products,0.9423952514294179
4908,EXXON MOBIL PRODUCTION CO,Exxon Mobil Corp,0.9423341732191399
1504,Illinois Road Builders Association,Illinois Tool Works Inc.,0.942255263805121
7894,Frontier Technology Corporation,Frontier Communications Corp,0.9421978068864356
1624,ANHEUSER BUSCH LEGLSLATIVE ISSUES NETWORK,Anheuser-Busch Companies Inc,0.9421298343713438
8950,"Evergreen Industries, Inc.",Evergreen Solar Inc,0.9420960626217745
4430,ILLINOIS OPTOMETRIC ASSN,Illinois Central Railroad Co,0.9420796027022131
2255,NATL RURAL ELEC COOPERATIVE ASSN,National-Standard Co,0.9420417213197123
2348,SUPERIOR MFG GP,Superior Essex Inc,0.9418663488376599
5635,APPALACHIAN NURSERIES INC,Appalachian Power,0.9418257392846522
8281,Montgomery County Maryla,Montgomery Financial Corp,0.9417835816640611
5869,PENNZOIL QUARKER STATE CO,Pennzoil-Quaker State Co,0.9417685172505279
4012,SOUTHERN CONTAINER CORP,Southern Platinum Corp,0.941605626303763
6083,PHOENIX PRODUCTS INC,Phoenix Cos Inc.,0.9415812286300433
3580,Michigan State University,Michigan Rivet Corp,0.9415776121018101
7968,"Royal Oak Hills Association, Inc.",Royal Hawaiian Orchards LP,0.9415485542556727
479,INDEPENDENT INS AGENTS OF KENTUCKY INC,Independent Fact Ltd,0.9415465969067497
8279,Montgomery and Sons Trucking Incorporated,Montgomery Financial Corp,0.9414502022811693
1831,Georgia Motor Trucking Association,Georgia Carolina Bancshares,0.9414039385799915
7148,Robert Cousins and,Robert Half International Inc.,0.9408305477238569
7049,New England Gas Association,New England Business Service Inc.,0.9408267061355364
2536,NEW ENGLAND CONFECTIONERY,New England Power Co,0.9407577809858468
8094,ANR Pipeline Company,ANR Pipeline Co,0.9407292506521291
2557,Westwood College of Aviation Technolgy,Westwood Holdings Group Inc.,0.9405334636984976
3896,New Jersey State Police,New Jersey Resources Corp,0.9404472108319266
8293,"Pacific Coast Bus Service, Inc.",Pacific Bank NA San Francisco,0.9403295159724785
4872,METAL SURFACES INC,Metals USA Inc,0.9402060706944453
2754,LENACO CORP,Leitch Technology Corp,0.9401280887670017
6095,SOUTHERN CALIFORNIA PAINTERS AND ALLIED TRADES,Southern California Gas Co,0.9398496775662936
5197,AEGIS TECH RESOURCES,Aegis Realty Inc,0.9396953784266375
1146,SUPERVALU ST LOUIS DIV,SUPERVALU INC.,0.9396478416309176
3845,Arrow Trucking,Arrow Magnolia International Inc,0.93961561562007
2929,Massachusetts Highway Department,Massachusetts Electric Co,0.9395569114296374
4706,FEDERAL SIGN CO,Federal Signal Corp.,0.9393629661237834
2439,Columbia Energy Group Service Corporation,Columbia Energy Group,0.9393435379628357
8130,California Public Utilities Commission,California Pizza Kitchen Inc,0.9392805291674197
4857,ANDREW J CULPEPPER,Andrew Peller Ltd,0.9391721567569432
9498,"Edison Company of New York, Inc.",Edison Control Corp,0.9391132588751678
141,CONNECTICUT HOSP ASSN,Connecticut Bancshares Inc,0.9391012676516328
6100,Southern California Regional Rail Authority,Southern California Gas Co,0.9390774956135283
3355,MONTGOMERY GEN HOSP,Montgomery Ward Holding,0.9388085556676888
3948,WESTERN RESOURCES INC,Western Asset Zenix Income Fund Inc,0.9385684889241352
8329,Community Chiropractic Care,Community Capital Corp,0.9384781263029478
8006,White Environmental Associates,White Electronic Designs Corp,0.9384359437980725
5051,RELIABLE PLATING CORP,Reliable Power Systems Inc,0.9383164270095435
8250,Delaware Distribution Services,Delaware Investments National Municipal Income Fund,0.9380837784150757
8867,West Wisconsin Transport Inc,Westwood Corp,0.9380689467396512
6787,Alaska Action Center,Alaska Airlines Inc,0.9378773087723301
516,NORTH COAST CONTAINER CORP,North Carolina Natural Gas,0.9376634054035722
6144,"Golden Eagle Construction Co., Inc.",Golden Goose Resources Inc,0.9376445334512047
8770,Great Northern Bark Company,Great Northern Iron Ore Properties,0.9373432938982047
8298,Golden Ring Trucking,Golden Ocean Group Ltd,0.9373160079474802
1529,KING WHOLESALE INC,King World Productions Inc,0.9372443588832232
2033,PACKAGING SVC INC,Packaging Corp Of America,0.9370405193995174
2068,Montana Logging Association,Montana Power Co,0.9368742368820443
2691,INTERTAPE POLYMER GP,Intertape Polymer Group Inc.,0.9366126808785572
3130,"Connecticut Road Builders Association, Inc.",Connecticut Light & Power Co,0.9365185323520845
2747,Central Puget Sound Regional Transit Authority,Central Newspapers,0.9364786097272867
8305,Vern Snodgrass,Vericel Corp,0.9364450296107725
474,INDEPENDENT INS AGENTS OF RHODE ISLAND,Independent Fact Ltd,0.9363294841455283
8855,Superior Chair Company,Superior National Insurance Group Inc,0.9363231359365571
2035,PACKAGING INNOVATORS CORP,Packaging Corp Of America,0.936278738119657
6166,MIRAMAR CONSTRUCTION CO INC,Miramar Mining Corp,0.9362115554138013
2317,Union Corrugating Company,Union Community Bancorp,0.9359021739803167
4924,MORGAN SVCS INC,Morgan Keegan Inc,0.9358784279004012
4317,HARTFORD DISTRIBUTORS INC,Hartford Income Shares Fund Inc.,0.9356457886438766
2535,"Rocky Acres, Inc.",Rocky Brands Inc,0.9355765772992964
2040,PACKAGING LOGIC INC,Packaging Corp Of America,0.9354899290515426
8856,"Superior Concrete, Inc.",Superior National Insurance Group Inc,0.9354842390984465
7662,Global Recycling Council,Global Crossing Ltd,0.9354224956227746
5283,Northern Specialty Supplies Inc.,Northern Technologies International Corp,0.9353958392277202
8288,Midwest Hay Co.,Midwest Bancshares Inc/DE,0.9353284009091448
142,CONNECTICUT HOSP ASSN WORKERS COMPENSATION TRUST,Connecticut Bancshares Inc,0.9353075796874195
2037,PACKAGING SVCS IND GP,Packaging Corp Of America,0.9352847769095677
3062,FAMILY OPTOMETRIC CTR,Family Room Entertainment Corp,0.9352009031222746
9493,Morgan Sand & Gravel Inc.,Morgan's Foods Inc.,0.9351988380393469
5722,PIONEER MATERIALS WEST,Pioneer Metals Corp,0.9351455334101021
8932,Xcel Energy Environmental Services,Xcel Energy Inc.,0.9350797633322578
7970,"Royal Palm Imporovement Association, Inc.",Royal Hawaiian Orchards LP,0.9350563234292842
8499,Florida International University,Florida Public Utilities Co,0.9350559809549663
8267,"Technologies, Inc.",Technology General Corp,0.9349454626933658
2017,"Robertson Johnson Warehouses, Inc.",Robertson-Ceco Corp,0.9349197769441485
4020,INDEPENDENT INS AGENTS OF PENNSYLVANIA,Independence Brewing Co,0.9348708890091537
4111,WILLIAMS RIPA AND ASSOCIATES,Williams Coal Seam Gas Royalty Trust,0.934701904212422
9173,Federal Aviation Administration,Federal Trust Corp,0.9346725816357977
5536,WESTERN TRAILER CO,Western Standard Corp,0.9346032683287873
8954,"Evergreen International Airlines, Inc.",Evergreen Solar Inc,0.9345219231002195
9007,Golden Hawk Transportation,Golden Books Family Entertainment,0.9344574993430506
8724,Southern Oklahoma Development Association,Southern Copper Corp,0.9343012699736093
7976,Virginia Forestry Association,Virginia Gas Co,0.9341074087229488
1228,KENTUCKY GROCERS ASSN INC,Kentucky First Bancorp Inc.,0.9340861904631733
9352,Community Chamber of Commerce,Community Health Systems Inc,0.9340007628803358
4946,HERITAGE VLY HEALTH SYSTEM,Heritage Financial Corp,0.9338935398439779
10,NEW YORK OFC OF THE ATTORNEY,New York Health Care Inc,0.9338575670225508
6160,Diversified Scientific Services,Diversified Senior Services Inc.,0.9338354212358606
9379,"Barrett Paving Materials, Inc.",Barrett Business Services Inc,0.9338295906634381
6858,Transportation Communications International Union,Transportation Technologies Industries Inc.,0.9337887305821188
5650,FRIEDMANS SUPERMARKETS,Friedman's Inc.,0.9336724893872945
3254,Transportation Lawyers Association,Transportation Component Inc,0.933633695274967
7778,Michael A. Catalano,Michael Baker Corp,0.933600115475984
9317,"US Airways, Inc.",US Airways Group Inc,0.9335162156188983
9342,Kerr-McGee Oil & Gas Corporation,Kerr-McGee Corp,0.9334159607237715
4014,Southern Company Utilities,Southern Platinum Corp,0.9333676434632303
2796,California Department of Motor Vehicles,California Water Service Group,0.9332843284258426
8989,"Golden Eagle Express, Inc.",Golden West Financial Corp.,0.9332041124728946
2555,WESTWOOD HILLS HEALTHCARE CTR,Westwood Holdings Group Inc.,0.9331460531332917
7096,"Alaska RoadBuilders, Inc.",Alaska Air Group Inc.,0.9331027936493084
5019,WESTERN IND LAUNDRY,Western Digital Corp,0.9327656969291879
8686,Richard Oil Company,Richardson Electronics Ltd,0.9326900698204149
7354,Environmental Coalition on Nuclear Power,Environmental Oil Processing Technology Corp,0.9325708151445861
647,CALIFORNIA TRUSS CO,California Software Corp,0.9325128849479372
4067,COLUMBIA DISTRIBUTING CO INC,Columbia Sportswear Co,0.93247827048487
8240,Jefferson County,Jefferson-Pilot Corp,0.9324464659292492
4784,ALLIED SECURITY FENCE CO,Allied Security Innovations Inc,0.9324337704589558
9318,Global Marine Drilling Company,Global Maintech Corp,0.9324300351176296
8745,Western Resources,Western Asset Municipal High Income Fund Inc,0.9322882129411876
5971,CARRIERS CONTAINER COUNCIL INC,Carrier Access Corp,0.932255021857567
8386,General Marine Leasing,General Magnaplate Corp,0.932200212250422
3315,OREGON TRUCKING ASSN INC,Oregon Trail Financial Corp,0.9321221520112948
5680,ROYAL APPLIANCE MFG CO,Royal Bank of Scotland Group PLC,0.9320267447274521
9381,Barrett Paving Materials Inc.,Barrett Business Services Inc,0.9319610835347801
5120,CONNECTICUT FOOD ASSN,Connectinc.com Co,0.9319573788246103
7656,Texas Disposal Systems,Texas Industries Inc.,0.9317750359410409
2722,"Worksafe, Inc.",Worksafe Industries Inc,0.9317047743064896
8296,"Golden Ring Trucking, Inc.",Golden Ocean Group Ltd,0.9312504974831678
6926,Pioneer Truck Equipment,Pioneer Railcorp,0.9310136495627788
3526,PENNSYLVANIA BUILDERS ASSN,Pennsylvania Electric Co,0.9309582077201178
3352,BORGWARNER AUTOMOTIVE,BorgWarner Inc,0.9309124476740173
2678,MCCORMICK COMM OF PUBLIC WORKS,McCormick & Co Inc,0.9307110002393078
6971,Marine Cross County,Marine Products Corp,0.9306434826376926
3847,Arrow Trucking Co.,Arrow Magnolia International Inc,0.9306210750474114
3512,Premium Best Tranport,Premium Restaurant Co,0.930606640283689
9210,"New Horizon Electric Cooperative, Inc.",New Horizon Kids Quest Inc,0.9305616660752569
5611,PACIFIC MARITIME ASSN HEADQUARTERS,Pacific Mercantile Bancorp,0.9304985574522586
2719,"WorkSafe, Inc.",Worksafe Industries Inc,0.9303922404338165
5513,BUSINESS AND PROFESSIONAL WOMEN,Business Resource Group,0.9303607410588438
5144,North Shore Water Commission,North Shore Gas Co,0.9302205184818898
6951,Keystone Shipping Company.,Keystone Consolidated Industries Inc.,0.9299928763466379
2031,PACKAGING PRODUCTS CORP,Packaging Corp Of America,0.9299637012034017
3121,CONNECTICUT BUSINESS AND IND ASSN,Connecticut Light & Power Co,0.9296926850046813
358,WASHINGTON FEDN OF STATE EMPLOYEES,Washington Federal Inc.,0.9296642230442592
8693,"Mercury Excelum, Inc.",Mercury General Corp,0.9296346728411639
6870,Transportation Consulting Northwest,Transportation Technologies Industries Inc.,0.9296120533173051
6692,"American Express Travel Related Services Company, Inc.",American Express Credit Corp,0.9294927740603616
7328,Lafarge Corporation,Lafarge SA,0.9294084600948264
2902,DRY,Zap,0.9293749659285451
2130,WESTGRO CORP,Western Bancorp,0.9292406456160227
3198,BURLINGTON HOUSE FLOOR ACCENTS,Burlington Industries Inc,0.9290589067266202
2399,TEXAS NURSERY AND LANDSCAPE ASSN,Texas Instruments Inc,0.9290321265007939
2937,TOWN AND COUNTRY GARDENS INC,Town and Country Trust,0.9290109477982801
3357,Montgomery County Maryland Department of Public Works and Transportation,Montgomery Ward Holding,0.9289754819544266
2267,"Central GA Coop, Inc.",Central Securities Corp,0.9288661483055425
6953,American Waterways Operators,American Water Works Company Inc,0.9288322278150829
8249,Smithkline Beecham Consumer Heathcare,Smithkline Beecham (Uk) PLC,0.9287144929144191
2119,PACIFIC SANITATION INC,PacificNet Inc,0.9286303601121892
7658,"Texas Disposal Systems Landfill, Inc",Texas Industries Inc.,0.9286218039926191
9261,Morgan Corporation,Morgan Products Ltd,0.9286003716002444
4792,CALIFORNIA FINE WIRE CO,California Engels Mining Co,0.9283779881424554
1637,NORTHERN CALIFORNIA GROCERS ASSN,Northern Orion Resources Inc,0.9283683746440006
292,ILLINOIS HOMECARE COUNCIL,Illinois Power Co,0.9283458899654492
2201,Florida East Coast Railway Company,FloridaFirst Bancorp Inc,0.9282538621971792
257,HUDSON ANNE,Hudson Technologies Inc,0.928249473459152
4152,ROYAL,Royal Waterlily Inc,0.9281663694830558
3476,BRIGHAM ASSOCIATES IN PSYCHIATRY,BrightStar Information Technology Group Inc,0.9281406096546356
5500,CALIFORNIA TRUSS CO INC,California Style Palms Inc,0.9280116187209189
8587,Michael and Mary Ann Funke,Michael Anthony Jewelers Inc.,0.9278264373782935
171,Baltimore International Warehousing & Transportation,Baltimore Gas & Electric Co,0.9277406991935263
8572,Southern Foods,Southern Foods Group LP,0.9275707189413571
492,ALLIANCE OF AM INSURERS,Alliant Energy Corp,0.9275136971292742
7889,Columbia Falls Aluminum,Columbia Financial of Kentucky Inc,0.9273502060668605
1615,ANHEUSER BUSCH SALES CO OF DENVER,Anheuser-Busch Companies Inc,0.9272794982888957
4906,TRANSLIFT INC,Transnet Corp,0.9271865408753606
7655,"Texas Disposal Systems Landfill, Inc.",Texas Industries Inc.,0.9271495122085258
7178,Pacific Pilotage Authority Canada,Pacific Capital Bancorp,0.9271245871983157
3248,TRANSPORTATION COMMUNICATIONS INTL,Transportation Component Inc,0.9270428116213327
6158,DIVERSIFIED SYSTEMS INC,Diversified Senior Services Inc.,0.92694424539943
7137,"Mitsubishi Heavy Industries America, Inc.",Mitsubishi Electric Corp,0.9268840329853579
4108,GOLDEN GATE DISTRIBUTING CO,Golden Entertainment Inc,0.9268782297201269
2157,PACIFIC CARE CTR,Pacific CMA Inc,0.9268582164340688
7943,Kansas City Business Aviation Association,Kansas City Southern,0.9266302981534373
4743,CENTRAL ADVERTISING CO,Central Garden & Pet Co,0.9265941622310655
9166,International Business Aviation Council Ltd.,International Business Machines Corp,0.926516226401798
8326,Transit Standard Consortium,Transition Therapeutics Inc,0.9264682242564694
7710,Robert Voronovitch,Robert Mondavi Corp,0.92646268160508
8002,"United Propane Gas Companies, Inc.",United Payors & United Providers Inc,0.9263934575309128
4174,MARKET PLACE HOLDINGS INC,Market & Research Corp,0.9263642816125662
8912,Basin Electric Power Cooperative,Basin Exploration Inc,0.9263576982306312
8284,Montgomer County,Montgomery Financial Corp,0.9263417306760923
6117,Arizona Chemical Company,Arizona Instrument Corp,0.9263344588633872
1372,TEXAS DEPT OF CRIMINAL JUSTICE,Texas United Bancshares Inc,0.9263171611775938
9375,Brunswick Trucking & Contracting,Brunswick Technologies Inc,0.9261693239975403
5011,Washington Trucking Associations,Washington Banking Co,0.9261155288028747
2376,INDIANA GROCERY AND CONVENIENCE STORE ASSN,Indiana Bell Telephone Co,0.9260927156550697
5777,VULCAN INTERIOR PRODUCTS,Vulcan International Corp,0.9260419100472895
4151,ENVIROC INC,Enviro Technologies Inc,0.9260184041394811
7052,Orange County Transportation Authority,Orange-Co Inc,0.9259730067595585
9052,Texas Metropolitan Planning Organization,Texas Gas Transmission LLC,0.925932492949641
1,NEW YORK STATE PUBLIC EMPLOYEES FEDN,New York Health Care Inc,0.9258946645780601
1851,BUNZL YORK INC,Bunzl PLC,0.9258780616454838
3704,CARMEN PALIOTTA CONTRACTING,Carmel Container System Ltd.,0.9256722331446047
6744,Raytheon Aircraft Company,Raytheon Co.,0.9256021201778091
5152,GREATER ROCHESTER METRO CHAMBER OF COMMERCE,Greater Atlantic Financial Corp,0.9255609487272127
9332,Canadian General-Tower Ltd.,Canadian General Investments Ltd,0.9254633656024056
4932,Continental Carbon Company,Continental Home HealthCare Ltd,0.9253858183533905
1413,TENNESSEE GROCERS ASSN,Tennessee Gas Pipeline Co,0.9253061592575096
4147,Alliance of Motion Picture and Television Producers,AllianceBernstein Global High Income Fund Inc,0.9251899824080285
4120,ALLIANCE OF AUTOMOTIVE SVC PROVIDERS MINNESOTA,AllianceBernstein Global High Income Fund Inc,0.9251832185930468
8927,Environmental Research Center,Environmax.com Inc,0.9251719457874115
