string0,string1
Institute for A Drug-Free Workplace,Institute for a Drug-Free Workplace
US Geothermal,"U.S. Geothermal, Inc."
Business Cltn/US-Central America Trade,BUSINESS COALITION FOR US-CENTRAL AMERICA TRADE
Amarin Corp,"Amarin Pharma, Inc."
Advocates for EMS,ADVOCATES FOR EMS
Public Service Co of New Mexico,Public Service Company of New Mexico
US Smokeless Tobacco,US SMOKELESS TOBACCO CORPORATION
American Assn for Geriatric Psychiatry,AMERICAN ASSN FOR GERIATRIC PSYCHIATRY
"City of San Bernardino, CA","CITY OF SAN BERNARDINO, CA"
"Thelen, Reid & Priest",THELEN REID BROWN RAYSMAN & STEINER
Jones Co,JONES CO
Government of India Embassy,EMBASSY OF INDIA
Rolls-Royce North America,ROLLS-ROYCE NORTH AMERICA AND ITS AFFILIATES
"City of Williamsport, PA",City of Williamsport
NAAA-ADC Inc,NAAA-ADC
AeroCare Holdings,"AeroCare Holdings, Inc."
CMP Media,CMP MEDIA LLC
Edward Jones,"JONES INVESTMENTS, EDWARD"
Mercury/Clark & Weinstock,Clark and Weinstock
Brown-Forman Corp,BROWN-FORMAN
Green Carbon Inc,"Green Carbon, Inc."
Veterans Assembled Electronics,VETERANS ASSEMBLED ELECTRONICS
Rubenstein Museum Science & Technology,MILTON J RUBENSTEIN MUSEUM OF SCIENCE & TECHNOLOGY
Avista Corp,Avista Corporation
MarketAxess Holdings,"MarketAxess Holdings, Inc."
"Warren, Jill",Ms. Jill Warren
Wisconsin Physicians Service Insurance,WISCONSIN PHYSICIANS SERVICE
United HealthCare Corp,UNITED HEALTHCARE
"Heckerman, Jerry","HECKERMAN, JERRY"
HDR Inc,"HDR Engineering, Inc."
XM Satellite Radio,XM SATELLITE RADIO
Ecsi,ESCI
South African Sugar Assn,SOUTH AFRICAN SUGAR ASSOCIATION
DaVita HealthCare Partners,DAVITA INC
Flint Group,FLINT GROUP
"Kaplan, Kirsch & Rockwell",KAPLAN KIRSCH & ROCKWELL LLP
ConAgra Foods,CONAGRA
"Hill, Frank H",Frank Hill
PepsiCo Inc,Pepsico
"Skadden, Arps et al",SKADDEN ARPS SLATE MEAGHER & FLOM
CTIA-The Wireless Assn,CTIA
One Economy Corp,ONE ECONOMY CORP
Eai Corp,EAI CORPORATION
Equistar Chemicals,EQUISTAR CHEMICALS LP
"McLean, Christopher A","MCLEAN, CHRISTOPHER A."
Signal Group,"Signal Group Consulting, LLC"
Asm,ASM
United Payors & United Providers,UNITED PAYORS & UNITED PROVIDERS
Bingham Consulting,BINGHAM CONSULTING
Harris Delorean Public Relations,HARRIS DELOREAN PUBLIC RELATIONS
Eastern Long Island Hospital,EASTERN LONG ISLAND HOSPITAL
Culpeper Regional Hospital Foundation,CULPEPER REGIONAL HOSPTIAL FOUNDATION
Natural Gas Vehicle Coalition,NGVAmerica
Viacom International,VIACOM INTL
GW Peoples Contracting,G W PEOPLES CONTRACTING CO
Board of Aviation Commissioners,"Board of Aviation Commissioners - City of Columbus, Indiana"
Occidental Petroleum,Occidental Petroleum Corporation
National Restaurant Assn,NATIONAL RESTAURANT ASSOCIATION
Blue Cross/Blue Shield of Florida,BLUE CROSS AND BLUE SHIELD OF FLORIDA INC
Federal Signal Corp,FEDERAL SIGNAL CORP
"Angelo, Gordon & Co","Angelo, Gordon & Company"
United American Insurance,"UNITED AMERICAN NURSES, AFL-CIO"
Chad Bradley & Assoc,"BRADLEY & ASSOC, CHAD"
Hefner Outdoor Advertising,HEFNER OUTDOOR ADVERTISING
Anami Holdings,"Anami Holdings, Inc."
Howrey & Simon,HOWREY LLP
First Flight Centennial Foundation,FIRST FLIGHT CENTENNIAL FOUNDATION
Citibank,CITI BANK
American Lithium Energy,American Lithium Energy Corporation
"Nelson, Mullins et al",Nelson Mullins
"Mecklenberg County, NC",MECKLENBURG COUNTY
Varian Assoc,VARIAN ASSOC
Honeywell International,Honeywell
"Marshall County, AL","MARSHALL CO, ALABAMA"
Roll International,ROLL INTERNATIONAL CORPORATION
Delta Regional Medical Center,DELTA REGIONAL MEDICAL CENTER
Air Conditioning & Refrigeration Inst,"Air Conditioning, Heating and Refrigeration Institute"
"Wilczewski, Edward E",Edward E. Wilczewski
Carle Foundation,The Carle Foundation
ESRI Contracts & Legal Services,ESRI CONTRACTS & LEGAL SERVICES
Intl Natural Sausage Casing Assn,INTL NATURAL SAUSAGE CASING ASSN
Graduate School,GRADUATE SCHOOL USA
"Zuckert, Scoutt & Rasenberger","ZUCKERT SCOUTT & RASSENBERGER, LLP"
Beowulf Energy,Beowulf Energy LLC
New York Mercantile Exchange,MERC EXCHANGE LLP
Akeela Inc,"AKEELA, INC"
"Richardson, Patrick et al","RICHARDSON PATRICK WESTBROOK BRICKMAN, LLC"
Pharmacia Corp,PHARMACIA-UPJOHN
Tanners' Countervailing Duty Coalition,TANNERS COUNTERVAILING DUTY COALITION
Indiana State University,INDIANA STATE UNIV
Sugar Assn,The Sugar Association
Pasteurized Eggs LP,"PASTEURIZED EGGS, L.P."
Clarkson College,CLARKSON COLLEGE
Americans for Prescription Drug Fairness,American's for Precription Drug Fairness
Import Sterilization Inc,"Import Sterilization, Inc."
LS Power,"LS Power Associates, L.P."
Alaska North Slope LNG Project,ALASKA NORTH SLOPE LNG PROJECT
Liquidity Services,"LIQUIDITY SERVICES, INC."
American Neurological Assn,American Neurological Association
"City of Norwalk, CA","City of Norwalk, California"
Airbus Americas,"AIRBUS NORTH AMERICAN HOLDINGS, INC."
TechNet,TECHNOLOGY NETWORK
E Group,E GROUP
Infineon Technologies,INFINEON TECHNOLOGIES AG
"City of Orlando, FL","CITY OF ORLANDO, FLORIDA"
Barnes & Noble College Bookstores,BARNES AND NOBLE COLLEGE BOOKSTORES INC
US Poultry & Egg Assn,US POULTRY AND EGG ASSOCIATION
Lake Cumberland Assn,Lake Cumberland Association
American Road & Transport Builders Assn,ARTBA
Paradigm Project,The Paradigm Project
Board & Cassel,Broad and Cassel
Rythms Net Connections,"RYTHMS NET CONNECTIONS, INC"
SAP Public Services,SAP PUBLIC SERVICE INC
UnitedHealth Group,UNITEDHEALTH GROUP CO OVATIONS DIVISION
"Copeland, Lowery & Jacquez",COPELAND LOWERY & JACQUEZ
Native American Financial Services Assn,Native American Financial Services Association
Shire Regenerative Medicine,"Advanced BioHealing, A Shire Company"
Engineering Support Personnel,"ENGINEERING SUPPORT PERSONNEL, INC"
Maersk Inc,MAERSK
GE Pipeline North America,G.E. PIPELINE NORTH AMERICA
First American Financial Corp,First American Financial Corporation
"Remy, Thomas & Moose",REMY THOMAS & MOOSE
Concierge Holdings,"Concierge Holdings, Inc."
"City of Bessemer, AL","CITY OF BESSEMER, ALABAMA"
vRide Inc,VPSI Inc.
Coalition of NY State Public Health Plan,COALITION OF NYS PUBLIC HEALTH PLANS
Western Development,Western Development Corporation
"City of Logan, UT, UT",CITY OF LOGAN
Peter N G Schwartz Foundation,PETER N.G. SCHWARTZ FOUNDATION
St Alphonsus Regional Medical Center,SAINT ALPHONSUS REGIONAL MEDICAL CTR
Buckeye Partners,"Buckeye Partners, L.P."
PennHemp LLC,"PennHemp, LLC"
Institute of International Bankers,INST OF INTL BANKERS
NMI Holdings,"NMI Holdings, Inc."
Centocor Ortho Biotech Services,"Centocor Ortho Biotech Services, LLC"
Headwaters Inc,Headwaters Inc.
Hillman Co,The Hillman Company
Natl Assn of Beverage Retailers,NATL ASSN OF BEVERAGE RETAILERS
"Roush, Patricia M","ROUSH, PATRICIA M."
John Jay College,"JOHN JAY COLLEGE OF CRIMINAL JUSTICE, CITY UNIV OF NY"
National Legal Aid Defender Assn,NATL LEGAL AID & DEFENDER ASSN
Tarrant Regional Water District,TARRANT REGIONAL WATER DISTRICT
Srt Group,SRT GROUP
"Margareten, Moshe",Moshe Margaretin
Deka Research & Development,DEKA RESEARCH & DEVELOPMENT CORP
New Power Co,NEW POWER CO
Afognak Native Corp,Afognak Native Corporation
"Cuttino, Phyllis Anne",Phyllis Cuttino
Excelerate Energy,Excelerate Energy LP
DigitalConsumer.org,DIGITALCONSUMER.ORG
National Armored Car Assn,NATIONAL ARMORED CAR ASSOCIATION
"Harman, William R","HARMAN, WILLIAM R."
Mercy Hospital & Medical Center,MERCY HOSPITAL & MEDICAL CENTER
California Canning Peach Assn,CALIFORNIA CANNING PEACH ASSOCIATION
Sybase Inc,"SYBASE, INC"
Elkins-Delahaye LLC,"Elkins-Delahaye, L.L.C."
National Assn of Enrolled Agents,NATIONAL ASSOCIATION OF ENROLLED AGENTS
WSP Parsons Brinckerhoff,PARSONS BRINCKERHOFF INC
Wellogic,WELLOGIC
Maritime Exchange for the Delaware River,Maritime Exchange for Deleware River and Bay
Mercer Engineering Research Center,MERCER ENGINEERING RESEARCH CENTER
Smith Advocacy Group,"Smith Advocacy Group, LLC"
CompTIA Member Services,"CompTIA Member Services, LLC"
Rasky Baerlein Strategic Communications,RASKY BAERLEIN STRATEGIC COMMUNICATIONS
Sonitrol Corp,SONITROL CORP
Fix the Debt Coalition,"Fix the Debt Coalition, Inc."
Eyman Assoc,Eyman Associates PC
Warren Corp,WARREN CORP
Longmont United Hospital,LONGMONT UNITED HOSPITAL
Transonic Systems,TRANSONIC SYSTEMS
Association of Korean Oriental Med/Acupuncture,ASSN OF KOREAN ORIENTAL MEDICINE & ACUPUNTURE MED
"Brevard County, FL","BREVARD COUNTY, FL"
Diabetes Research Institute Foundation,"Diabetes Research Institute Foundation,Inc."
Stillman College,STILLMAN COLLEGE
Cncl/Women's/Infants' Specialty Hospital,THE COUNCIL OF WOMEN'S & INFANTS' SPECIALTY HOSPITALS
APTS Action,APTS ACTION INC
Wellcare Health Plans,"Wellcare Health Plans, Inc."
Hornbeck Offshore Services,HORNBECK OFFSHORE SERVICES INC
LOOP Inc,LOOP INC
US Hispanic Chamber of Commerce,U S HISPANIC CHAMBER OF COMMERCE
Lucas Security,LUCAS SECURITY
National Cable Television Assn,NATIONAL CABLE TELECOMMUNICATIONS ASSOCIATION
Cuban Political Prisoners,"CUBAN POLITICAL PRISONERS, INC"
SAIC Inc,SCIENCE APPLICATIONS INTL CORP
APL Ltd,"American President Lines, LLC"
Gulf States Health Services,GULF STATES HEALTH SERVICES
Flex Products,"Flex Products, Inc."
Hill Dermaceuticals,HILL DERMACEUTICALS
Contactps Llc,"CONTACTPS, LLC"
Millennium Health,MILLENNIUM HEALTH
EquityLock Solutions,"EquityLock Solutions, LLC"
Xtreme Power Solutions,XTREME POWER SOLUTIONS
Myriad Genetics,"MYRIAD GENETICS, INC."
National Electrical Contractors Assn,"National Electrical Contractors Association, Inc."
NextWave Wireless,NEXTWAVE WIRELESS
US Figure Skating Assn,U S FIGURE SKATING ASSN
Colorado River Conservation District,COLORADO RIVER CONSERVATION DISTRICT
Dreyfus Corp,DREYFUS CORP
Cozad Co,COZAD CO
"Brierre, William V Jr","BRIERRE, WILLIAM V. JR"
Coalition of American Decorative Mirror,COALITION OF AMERICAN DECORATIVE MIRROR IMPORTERS
"Rocchio, David",David Rocchio
Ameritas Life Insurance,Ameritas Life Insurance Corp.
Noble Corp,NOBLE DRILLING SERVICES
"Brownstein, Hyatt et al","BROWNSTEIN HYATT FARBER SCHRECK, LLP"
Northeast Utilities,NORTHEAST UTILITIES
Policy Impact Communications Inc,"Policy Impact Communications, Inc."
Allied Security,ALLIED SECURITY LLC
Integrated Sensing Systems,INTEGRATED SENSING SYSTEMS
Northeast Utilities,NORTHEAST UTILITIES SERVICE COMPANY
Monticello Asset Management,"Monticello Asset Management, LLC"
Sheridan Group,The Sheridan Group
Puerto Rico Dept of Housing,DEPT OF HOUSING OF THE COMMONWEATH OF PUERTO RICO
Tampa Bay Advocates Regional Transport,"Tampa Bay Advocates for Regional Transportation, Inc."
"City of Winston-Salem, NC",WINSTON-SALEM-NC CITY OF
"City of Brea, CA",City of Brea
Catholic Health Assn of the US,CATHOLIC HEALTH ASSOCIATION OF THE UNITED STATES
Enerdel Inc,"ENERDEL, INC."
Center of the Development of Information,CENTER OF THE DEVELOPMENT OF INFORMATION SOCIETY
American College of Surgeons Prof Assn,AMERICAN COLLEGE OF SURGEONS PROFESSIONAL ASSOCIATION
National Student Partnerships,NATL STUDENT PARTNERSHIPS
"Harter, Peter",PETER HARTER
Lyondell Petrochemical,LYONDELL CHEMICAL CO
Pediatrics OMS Research Fund,PEDIATRIC OMS RESEARCH FUND
Boilermakers Union,INTERNATIONAL BROTHERHOOD OF BOILERMAKERS
DCI Group,"DCI Group, LLC"
West African Land Holdings,West African Land Holdings Limited
Holly Corp,Holly Corporation
Brotherhood of Locomotive Engineers,BROTHERHOOD OF LOCOMOTIVE ENGINEERS
"Smallen, David","SMALLEN, DAVID"
Peninsula Gaming,PENINSULA GAMING LLC
Squaxin Island Indian Tribe,SQUAXIN ISLAND TRIBE
American Society of Interventional Pain Physicians,AMERICAN SOCIETY FOR INTERVENTIONAL PAIL PHYSICIANS
"Huddleson, Edwin E III",Mr. Edwin Huddleson
National Grid USA,NATIONAL GRID USA
Child Care America,CHILD CARE AMERICA
"Bradley, Arant et al","Bradley Arant Boult Cummings, LLP"
Ruan Leasing,RUAN LEASING CO
"Sullivan, John J","SULLIVAN, JOHN J."
"Cumberland County, ME","Cumberland County, Maine"
D3 International Engineering,INTL ENGINEERING & MANUFACTURING
Wayne Resa,WAYNE RESA
Christian Legal Society,CHRISTIAN LEGAL SOCIETY
Cbeyond Inc,"Cbeyond, Inc."
Terrasalus Energy,"Terrasalus Energy, Inc."
Viatel Inc,"VIATEL, INC"
Editas Medicines,"Editas Medicines, Inc."
"Dugan, John V Jr",JOHN DUGAN
Grizzle Co,GRIZZLE CO
Teen Challenge Illinois,TEEN CHALLENGE - ILLINOIS
ForeScout Technologies,"ForeScout Technologies, Inc."
CeraTech Inc,CERATECH INC
Wyoming Dept of Education,STATE OF WYOMING DEPARTMENT OF EDUCATION
Ingersoll-Rand Energy Systems,INGERSOLL-RAND ENERGY SYSTEMS
Colorado Health Foundation,The Colorado Health Foundation
Microstrategy Inc,Microstrategy Incorporated
Wildlife Trust,WILDLIFE TRUST
"Modi, Prashant",PRASHANT MODI
Norimet USA,NORIMET
Nec Corp of America,NEC Corporation of America
Buck Institute,Buck Institute for Age Research
New York Road & Infrastructure Coalition,New York Road and Infrastructure Coalition
Airports Council International,AIRPORTS COUNCIL INTL - NORTH AMERICA
NanoViricides Inc,"NANOVIRICIDES, INC."
"Carlino, August",Mr. August Carlino
InfiMed,INFIMED
Coalition of New England Cos for Trade,COALITION OF NEW ENGLAND COS FOR TRADE
Leggett & Platt,Leggett and Platt
Children's Hospital & Health System,"Children's Hospital and Health System, Inc."
Rej & Assoc,REJ & ASSOCIATES
CC Distributors,"CC Distributors, Inc"
Save America's Forests,SAVE AMERICA'S FORESTS
Center for Regulatory Effectiveness,CENTER FOR REGULATORY EFFECTIVENESS
Pittsburgh Plumbers,PITTSBURGH PLUMBERS
Brick Industry Assn,BRICK INDUSTRY ASSN
Prof Service Council & Info Tech Assn,PROFESSIONAL SERVICES COUNCIL & INFO TECHNOLOGY ASSOC OF AMERICA
Par Technology,PAR TECHNOLOGY CORP
Anker Energy,ANKER ENERGY CORP
PolyOne Corp,PolyOne Corporation
St Louis Community College,St. Louis Community College
Bello Corp,"BELO CORP, A.H."
