query_string,candidate_string,match
"Senior Criticality Safety Engineer, GE Hitachi Nuclear Energy",MEXCO ENERGY CORP,0.0
"Mntysaari, Artturi - First Round",FIRST TR DYNAMIC EURO EQ INC FD,0.0
"Lawson, Ellen",LAWSON PRODUCTS INC,0.0
Association of Food Industries & The Cheese Importers Association,GRANITE CITY FOOD & BREWERY LTD,0.0
Wayne Allard-American Motorcyclist Association,FIRST AMERICAN FINANCIAL CORP,
Fulton Co. Bd. of Education- Nutrition,CHINA DISTANCE EDUCATION HLD LTD,0.0
", Archer - First Round",COMMUNITY FIRST BANKSHARES INC,0.0
"P.A.W.S., INC. P.A.W.S., INC.",PUDA COAL INC,0.0
"P.A.W.S., INC. P.A.W.S., INC.",PSB HOLDINGS INC,0.0
"P.A.W.S., INC. P.A.W.S., INC.",PLANETOUT INC,0.0
"P.A.W.S., INC. P.A.W.S., INC.",USURF AMERICA INC,0.0
"Dupont Teijn Films, Mitsubishi Polyester Film, Inc & SKC, Inc)(Brazil",P T C INC,0.0
First Name Beginning with the Letter M,FIRST MERCHANTS CORP,0.0
"P.A.W.S., INC. P.A.W.S., INC.",SYMBOL TECHNOLOGIES INC,0.0
"P.A.W.S., INC. P.A.W.S., INC.",ASCENT ENTERTAINMENT GROUP INC,0.0
D.R.S.,D W S RREEF REAL EST FD II INC,0.0
"Boehm, Curtz & Lowry on behalf of The Ohio Energy Group",X O GROUP INC,0.0
G. A. Key,A M A G PHARMACEUTICALS INC,0.0
C C,C P S TECHNOLOGIES CORP,0.0
C L,ELLINGTON FINANCIAL L L C,0.0
"Michael L. Jones, Puget Sound Energy, Inc.",X C E L ENERGY INC,0.0
N. Resheske,N T N COMMUNICATIONS INC,0.0
"Cherry Creek Mortgage Co., Inc.",COFFEE HOLDING CO INC,0.0
C w,T C W CONVERTIBLE SECS FD INC,0.0
C C,A C M GOVT OPPORTUNITY FD INC,0.0
C. Lozier,C C B T FINANCIAL COS INC,0.0
M. Paff,M G M GROWTH PROPERTIES LLC,0.0
P. G. Shane,G P U INC,0.0
"Lawrence Lagowski, President, Indeck Energy Services",SOUTHCROSS ENERGY PARTNERS L P,0.0
J. P. Pickren,J P S PACKAGING CO,0.0
Fort,FORT JAMES CORP,0.0
"P.E., Asst. VP, Environmental",E P L OIL & GAS INC,0.0
John Toutkoushian III,JOHN HANCOCK E T F TR,0.0
a w b,W A V O CORP,0.0
Central Electric Cooperative,CENTRAL GARDEN & PET CO,0.0
"C., G.",C G G VERITAS,0.0
Goldman Sachs 2,GOLDMAN SACHS B D C INC,
Michael Anthony,MICHAEL ANTHONY JEWELERS INC,
"L Construction & Paving, Inc.",P P & L RESOURCES INC,0.0
American Savings,AMERICAN BUSINESS FINL SRVCS INC,0.0
A. M. Bono,M A G SILVER CORP,0.0
"James Schlecht, Schlecht Farms, Inc.",JAMES RIVER BANKSHARES INC,0.0
Wabash National Corporation,COMMERCIAL NATIONAL FINL CORP,0.0
"Xenobiotic Detection Systems, Inc.",DATRON SYSTEMS INC,0.0
"Camden County, NJ, Mosquito Commission",CAMDEN NATIONAL CORP,0.0
M. A. Alawi,M A I SYSTEMS CORP,0.0
"Tysons Foods, Inc.",MORGANS FOODS INC,0.0
"B&B Pharmaceuticals, Inc. Coenzme Q",A B C N A C O INC,0.0
"Roopa Nemi, Latham & Watkins LLP on behalf of Chinook Energy LLC",L & L ENERGY INC,0.0
"P.A.W.S., INC. P.A.W.S., INC.",COHEN & STEERS LTD DUR PFD & INC,0.0
C V,C V F TECHNOLOGIES CORP,0.0
"Roopa Nemi, Latham & Watkins LLP on behalf of Chinook Energy LLC",L R R ENERGY L P,0.0
"C&A Industries, Inc",A G I C CONVERTIBLE & INCOME FD,0.0
C N,C N Y FINANCIAL CORP,0.0
First Financial Services,FIRST FINANCIAL HOLDINGS INC,
AZ - Arizona Hospital and Healthcare Association,H C A HEALTHCARE CO,0.0
"Pacificwest Energy Solutions, Inc.",CRUSADER ENERGY GROUP INC,0.0
Gerald Notaro,GERALD STEVENS INC NEW,0.0
American Savings,AMERICAN COUNTRY HOLDINGS INC,0.0
"U.S.A., Inc. -",U T I WORLDWIDE INC,0.0
p c,C P I INTERNATIONAL INC,0.0
U.S. Representatives Alcee Hastings,U S WIRELESS CORP,0.0
"Corporate Environmental, Health,",CORPORATE EXPRESS N V,0.0
Martin Carrillo,MARTIN MARIETTA MATERIALS INC,0.0
R & R Ranches Inc,R H I ENTERTAINMENT INC NEW,0.0
Charles A. Testa,CHARLES & COLVARD LTD,0.0
Central Arizona Water Conservation Distr,central arizona water conservation district,1.0
Orange County Water District,orange county sanitation district,0.0
FirstEnergy Corp,firstenergy generation corporation,1.0
Berkshire Hathaway,berkshire power,0.0
Calpine Corp,calpine corporation magic valley,1.0
Weber Basin Water District,weber basin water conserv district,1.0
FPL Energy,dpl energy llc,0.0
Alliance Energy,alliance energy group llc,1.0
PSEG Power,pseg,1.0
Energy Harvest Group,harvest energy inc,0.0
Four Dam Pool,four dam pool agency,1.0
Consolidated Edison of New York,consolidated edison co ny inc,1.0
New York State Electric & Gas,new york state electric and gas corporation,1.0
GE Energy,g2 energy llc,0.0
Berkshire Hathaway Energy,berkshire power,0.0
Entergy Operations,energy operations group,0.0
City Light & Power Inc,kansas city power and light co,0.0
Allegheny Power,allegheny power system inc,1.0
Tractebel,tractebel power inc,1.0
Hydro Co,d r hydro co,0.0
US Energy Corp,entergy corporation,0.0
Oglethorpe Power,oglethorpe power corporation,1.0
"New Harquahala Generating Co, LLC",New England Electric Transmission Corporation,0.0
Clear Lake Cogeneration LP,"Clear Creek Wind, LLC",0.0
"Inter-Power/AhlCon Partners, L.P.","Inter-City Petroleum Marketers, Inc",0.0
International Paper Co,International Transmission Company,0.0
South Robeson Farm LLC,"South Jersey Industries, Inc.",0.0
New Prague Utilities Comm,New Brunswick Energy Marketing Corporation,0.0
"New Athens Generating Company, LLC",New Mexico Gas Storage Facility,0.0
American National Power,American Energy Development Corp.,0.0
Sidney Sugars Incorporated,"Sidney Coal Company, Inc.",0.0
AltaGas Renewable Energy CO LLC,AltaGas Idemitsu Joint Venture Limited Partnership,0.0
Duke Energy DEGS Happy Jack,"Duke Energy International, LLC",
"Signal Hill Petroleum, Inc","Signal Hill Power, LLC",0.0
Pacific Hydropower Co,Pacific Coast Oil Trust,0.0
Duke Energy Corporation,"Duke Energy International, LLC",0.0
Energy Investment Fund,"Energy Services Providers, Inc.",0.0
"RRI Energy Wholesale Generation, LLC","RRI Energy, Inc.",
International Paper - Valliant,International Environmental Solutions Corp.,0.0
Gulf Power Co,"Gulf Coast Pipeline Services, Inc.",0.0
Somerset Windpower  LLC,"Somerset Rural Electric Cooperative, Inc.",0.0
"Duke Energy Kentucky, Inc.",Duke Energy Americas LLC,
Devon Power LLC,"People's Power & Gas, LLC",0.0
Cassia Wind,"Whitetail Wind Energy, LLC",0.0
U S Army-Radford,U.S. Energy Partners LLC,0.0
MMA LA Power LP,"LS Power Development, LLC",0.0
Mississippi Power Co,Ultra Power Corp.,0.0
Brookfield Power,"Condon Wind Power, LLC",0.0
"AlphaGen Power, LLC","Aventine Power, LLC",0.0
"Middletown Power, LLC","Tawhiri Power, LLC",0.0
Dunkirk Power LLC,Brockton Power Company LLC,0.0
"CalPeak Power, LLC","Sithe Global Power, LLC",0.0
Entergy Corp,Entergy Wholesale Commodities,
National Power Coop Inc,National PowerX,0.0
ReEnergy Stratton LLC,Reenergy Stratton,1.0
M&M Mars Inc,"M&K Hotshot & Trucking, Inc.",0.0
Kinder Morgan Inc,Kinder Morgan North Texas Pipeline LLC,
Western Generation Agency,Western Irrigation District,0.0
"FPL Energy Callahan Wind, LLC","FPL Energy American Wind, LLC",
Consolidated Edison Solutions Inc,Consolidated Edison Energy Massachusetts Inc.,
Entergy Corporation,"Entergy Gulf States Hurricane Recovery Funding I, L.L.C.",
North American Hydro LLC,"North American Energy, Inc.",0.0
Southwest Generation LLC,Southwest Partners L.P.,0.0
City of Nebraska City,City Of Coatesville Authority,0.0
El Paso Wind LLC,El Paso Energy Partners Deepwater LLC,
Diamond Generating Corporation,"Diamond ""M"" Production Company",0.0
GAMET,GAMET Resources Ltd.,1.0
Southern Power Co,Southern Electric Generating Company,
Doyon Utilities - Ft. Wainwright,"Doyon, Limited",1.0
Kinder Morgan Inc,Kinder Morgan Canada Terminals ULC,
Dominion Generation,"Dominion Exploration & Production, Gulf Of Mexico Midstream Pipeline Interests",
CMS Enterprises Co.,CMS Enterprises Company,1.0
High Plains,High Roller Wells LLC,0.0
CMS Generation Operating Co II,"CMS Generation Operating Company II, Inc.",1.0
FPL Energy LLC,FPL Energy National Wind LLC,
Consumers Energy Company,Consumers Energy Company Financing II,
Black Hills Wyoming Inc,"Black Hills Colorado IPP, LLC.",
Rice University,Rice’s Gas & Oil Co.,0.0
Pacific Hydropower Co,Pacific Gas and Electric Company,0.0
Dalton Utilities,Dalton Resources Ltd.,
United Technologies,United Energy Corporation,
General Electric Contractual Services,"General Electric International, Inc.",
"SunCoke Energy, Inc.",SunCoke Energy Partners Finance Corp.,
Kinder Morgan Inc,Kinder Morgan Liquids Terminals LLC,
Energy Co.,Energy Flow Management Incorporated,0.0
U S Borax Inc,U.S. Water Services Corporation,0.0
Entergy Corp,"Entergy New Orleans Storm Recovery Funding I, L.L.C",
K-W Co,"W.K. Mcclendon Oil Co., Inc.",0.0
U S Bureau of Reclamation,"U.S. Oil Co., Inc.",0.0
Blue Hen Wind,Blue Sky Uranium Corp.,0.0
Constellation Energy,"Constellation Enterprises, Inc.",
TransCanada Power,Transcanada Pipeline USA Ltd.,
Rio Bravo Jasmin,"Rio Bravo Oil, Inc.",
National Institutes of Health,National Enterprises Inc.,0.0
Black Hills Wyoming Inc,"Black Hills Energy Resources, Inc.",
United States Sugar Corp,United States Fuel Company,0.0
Allegheny Energy,"Allegheny Electric Cooperative, Inc.",
United Technologies,United Farmers Co Op,0.0
Calpine Corp-Sutter,"Calpine Construction Finance Company, L.P.",
Fairfield University,Fairfield-Maxwell Ltd.,0.0
Green Ridge Service LLC,Green Ridge Services Llc,1.0
North American Power Group,North American Royalty Corp.,0.0
Sunray Operating Services LLC,"Silver Spike Energy Operating of NM, LLC",0.0
SEMASS Partnership,T.E.S. Filer City Station Limited Partnership,0.0
"Tri-State G & T Assn, Inc",Tri State Propane,0.0
"SunE SPS4, LLC","SunE St. Cloud 1, LLC",
Harvest I,Harvest Natural Resources Inc.,
Garden Wind LLC,"Wind Capital Group, LLC",0.0
"PPL Generation, LLC",Eagle Point Power Generation LLC,0.0
Cheyenne Light,Cheyenne Oil Well Services Ltd.,
NRG Delta LLC,NRG North America LLC,
Entergy Louisiana Inc,"Entergy New Orleans Storm Recovery Funding I, L.L.C",
NRG Sherbino LLC,"NRG REMA, LLC",
Doswell Limited Partnership,Doswell Energy Virginia Funding Corp.,
SunE AZ2 LLC,"SunE Winter 1, LLC",
"Orange Grove Energy, LP",Orange Grove Energy L.P,1.0
C.P. Crane LLC,P C Ltd,0.0
Dynegy Power Corporation,Dynegy Power LLC,1.0
Desert Power Associates,"Desert Power, L.P.",1.0
El Paso Electric Co,"El Paso CNG Company, L.L.C.",
"Duke Energy Murray Operating, LLC","Duke Energy Florida, LLC",
Triton Power Co,Power Commission Of The City Of Saint John,0.0
AEP Texas North Company,AEP Texas Central Company,
Southern Company,Southern Wireline Services Ltd.,0.0
AES Corporation,AES Trust IX,
Entergy RISE,"Entergy Gulf States Louisiana, L.L.C.",
Mission Energy of NY,"Mission Energy New York, Inc.",1.0
Encore Energy Partners Operating LLC,Encore Energy Partners GP LLC,
Entergy Texas Inc.,"Entergy Texas Restoration Funding, LLC",
Performance Services,Performance Petroleum Co.,0.0
Florida Power & Light Co,"Florida Power Development, LLC",0.0
Phillips 66,Phillips Alaska Pipeline Corporation,
Dominion Generation,"Dominion South Pipeline Company, LP",
AES Corp,Aes Placerita Inc.,
North American Energy Services,"North American Energy Resources, Inc.",0.0
Southwestern Electric Power Co,"Southwestern Electric Cooperative, Inc.",0.0
"Consolidated Edison of New York, Inc.","Consolidated Edison Energy, Inc.",
Calvert Cliffs Nuclear PP LLC,"Calvert Cliffs Nuclear Power Plant, Inc.",1.0
AES Corp,"AES Eastern Energy, L.P.",
Kinder Morgan Inc,Kinder Morgan Finance Company LLC,
"Electric Energy, Inc.",Electric Plant Board Of Russelville,0.0
NRG Solar PV LLC,NRG Solar Kansas South Holdings LLC,
Pinelawn Power LLC,Samchully Power & Utilities 1 LLC,
"Red Oak Power, LLC","Red Oak Power Urban Renewal Company, Llc",
Evergreen Wind Power LLC,Evergreen Community Power LLC,
Power Resources Ltd,"Power Resource Group, Inc.",
Eagle Rock Energy Partners,"Eagle Rock Midstream, L.P.",
San Jose/Santa Clara Water P C,San Jose Water Company,
CMS Enterprises Co.,Cms Of Delaware Inc.,
Baconton Power,JinkoSolar Power Engineering Group Limited,0.0
Perennial Power,"Cardinal Power of Canada, L.P.",0.0
"Columbia Energy, LLC","Columbia Energy Ventures, LLC",
"High Plains Ranch II, LLC",High Plains Cooperative,
Emera Inc,"Emera Energy Services, Inc.",
Moore 1,Moore Oil Company,
Panda Global Services,"Panda Global Holdings, Inc.",
Energy Co.,Energy America Inc.,
Public Service Company of Colorado,Public Service Company of Oklahoma,0.0
Entergy RISE,"Entergy Texas, Inc.",
Sunflower Electric Power Corporation,"Sunflower Electric Power Corporation, Inc.",1.0
Phillips 66 - Los Angeles,Phillips 66 Capital I,
Energy Northwest,"Northwest Ohio Wind Energy, LLC",
DG Fairhaven Power LLC,Dg Whitefield Llc,
Black Hills Wyoming Inc,Black Hills Gas Holdings Corp.,
Southern California P P A,Southern California Public Power Authority,1.0
Constellation Energy,"Constellation Energy Gas Choice, LLC",
Cedar Falls Utilities,Cedar Road Bioenergy Inc.,0.0
United States Steel- Clairton,United States Crude International Inc.,0.0
Northeast Texas Electric Cooperative,"Northeast Missouri Electric Power Cooperative, Inc.",0.0
International Paper Corporation,International Hydrocarbons Corp.,0.0
Calpine Corp,"Calpine Corp., Rocky Mountain Natural Gas Reserves",
Alta Wind V LLC,"Alta Wind Company, LLC",
ReEnergy Chateaugay LLC,ReEnergy Holdings LLC,
Cleco Power LLC,Oak Grove Power Company LLC,0.0
SunE CPS2 LLC,"SunE Rengstorf 1, LLC",
Entergy Corporation,"Entergy Texas, Inc.",
AES Corp,"AES Prescott, L.L.C.",
Rio Bravo Rocklin,Rio Bravo Energy Inc.,
SunE EPE1 LLC,"SunE Nesvold 2, LLC",
"Corpus Christi Cogeneration, LP","Corpus Christi Liquefaction, LLC",
Alta Wind II LLC,"Alta Wind Holdings, LLC",
Sunray Operating Services LLC,Sunray Operating Company LLC,
ConocoPhillips,ConocoPhillips Canada Resources Corp.,
"Montville Power, LLC","Starwood Power-Midway, LLC",
New Mexico State University,New Mexico Oilfield,
Clatskanie Peoples Util Dist,Clatskanie Peoples Utility District Inc.,1.0
Westmoreland Partners,Westmoreland Mining LLC,
SunE EPE1 LLC,"SunE Hellman 1, LLC",
Michigan Wind 1 LLC,Michigan Wind 2 LLC,
Solar Star California II LLC,Solar Star Funding LLC,
"Huntley Power, LLC","Handley Power, LLC",0.0
High Plains,"High Desert Power Project, LLC",0.0
NRG Energy Center San Diego LLC,NRG Energy Center Harrisburg LLC,
Midlothian Energy LP,"Midlothian Lng, L.L.C.",
J Power TVP General LLC,"J-POWER Westmoreland, LLC",
SunE Alamosa1 LLC,"SunE Lundell 1, LLC",
High Plains,High Arctic Energy Services Limited Partnership,0.0
Calpine Corporation,"Calpine Bosque Energy Center, LLC",
El Paso Wind LLC,El Paso Energy Management Llc,
Public Service Company of New Mexico,Public Service Company of New Hampshire,0.0
Tenaska Virginia Inc,"Tenaska Virginia Partners, L.P.",
"AES Somerset, LLC","AES Prescott, L.L.C.",
Calpine Corp,"Calpine Operating Services Company, Inc.",
Applied Energy LLC,Applied LNG,
Kinder Morgan Yates Operation,"Kinder Morgan , Inc.",
El Paso Electric Co,"El Paso EPNG Investments, L.L.C.",
"PSEG Nuclear, LLC",PSEG Fossil LLC,
New England Confectionery Co Inc,New England Gas Company,0.0
Entergy Arkansas Inc,Entergy Arkansas Capital III,
"AlphaGen Power, LLC",Tradinghouse 3 & 4 Power Company LLC,0.0
Calpine Corporation,"Calpine Construction Finance Company, L.P.",
Black Hills/Colorado Elec.Util,"Black Hills/Colorado Electric Utility Company, LP",1.0
SOWEGA Power LLC,"Signal Hill Power, LLC",0.0
White River Hydroelectric,"White River Storage, LLC",
"Huntley Power, LLC",Panda Power Annex Fund Hummel Holdings II LLC,0.0
Big Savage LLC,"Big Sky Wind Energy, LLC",0.0
"Renaissance Power, LLC","Thompson River Power, LLC",0.0
Alta Wind III LLC,"Alta Wind Company, LLC",
K Road Modesto Solar LLC,"K Road Sun, LLC",
Brookfield Power,"Brookfield Water Company, Inc.",
Westwood Generation LLC,"WPS Westwood Generation, LLC",1.0
Coso Operating Co LLC,"Carbon County Holdings, LLC, Patoka River Coal Company, LLC and Patoka River Holdings, LLC",0.0
Coolidge Power LLC,"Sugar Creek Power Company, LLC",0.0
NRG Texas Power LLC,NRG Sterlington Power LLC,
Mississippi Power Co,Mississippi Power Capital Trust III,
White River Hydroelectric,White River Petroleum Co Inc.,
Black Hills Service Company LLC,"Black Hills Gas, LLC",
UGI Development Co,UGI Corporation,
Northern Colorado Wind LLC,"Northern Colorado Oil and Gas Holdings, LLC",0.0
Walter Coke,Walter Oil & Gas Corporation,
Solar Star California II LLC,"Solar Star Arizona II, LLC",
Northwest Utilities,Northwest Perryton Prospect,
"Montville Power, LLC",Manchief Power Company LLC,0.0
AES Corporation,AES Calgary ULC,
Entergy Nuclear Vermont Yankee,"Entergy Nuclear, Inc.",
Shell Renewables,Shell Pipeline Company LP,
Middletown Power LLC,Mosaic Power LLC,0.0
Guadalupe Power LLC,"Summit Power Group, LLC",0.0
Energy Co.,"Energy Development Corporation , Inc.",
"Norwalk Power, LLC","Noble Environmental Power, LLC",0.0
Solar Star Colorado II LLC,"Solar Star Arizona II, LLC",
Blue Mountain Biogas LLC,"Blue Mountain Wind Holdings, LLC",
Calpine Corp,Calpine CCFC Holdings LLC,
Eagle Creek RE LLC,"Eagle Creek Renewable Energy Holdings, LLC",
Southern Company,Southern California Gas Co.,0.0
Duke Energy Corporation,"Duke Energy Commercial Enterprises, Inc.",
NextEra Energy Seabrook LLC,"NextEra Energy Point Beach, LLC",
PSEG Power Connecticut LLC,PSEG Power Capital Trust IV,
NRG Canal LLC,NRG Home Solutions LLC,
"Castleton Power, LLC",Big Brown Power Company LLC,0.0
"Eastman Cogeneration, LP",Cogeneration Eastman L P,1.0
Liberty Electric Power LLC,Liberty Power Arizona Llc,
AES Corp,"AES Puerto Rico, Inc.",
U.S. Government,U.S. Oil and Gas Resources Inc.,0.0
Exelon Nuclear,"Exelon Framingham, LLC",
Enron Wind,"Enron Caribbean Basin, LLC",
Fort Chicago,Fort Loudoun Electric Cooperative Inc.,0.0
El Paso Electric Co,"El Paso TGPC Investments, L.L.C.",
Tenaska Washington I LP,"Tenaska Washington Partners, L.P.",
Exelon Nuclear,Exelon Wind Canada Inc.,
Kent County,Kent Petroleum Limited,0.0
Enron Wind,"Enron International Development Services, Inc.",
"ALLETE, Inc.",ALLETE Capital II,
"SunE SEM 1, LLC","SunE Gergen 1, LLC",
El Paso Merchant Energy Co,El Paso Electric Company,
Industrial Power Services Corp.,Industrial Power Generating Corp.,
Centennial Power,"Centennial Energy Holdings, Inc.",
Dynegy Inc,"Dynegy Commercial Asset Management, LLC",
NextEra Energy Resources,"NextEra Energy Services District of Columbia, LLC",
Alta Wind V LLC,"Alta Wind I, LLC",
Sun Edison,"Sun Pipe Line Company of Delaware, LLC",
Dunn Paper,"Dunn's Tank Service, Inc.",0.0
Black Hills Service Company LLC,"Black Hills/Kansas Gas Utility Company, LLC",
Rocky Mountain Energy Ctr LLC,Rocky Mountain Energy Center LLC,1.0
Tamarack Energy Partners,"Tamarack Energy, Inc.",
Nevada Cogeneration Assoc # 2,Nevada Cogeneration Associates #2,1.0
Harvest I,Harvest Pegasus Inc.,
Tenaska Alabama I Partners LP,"Tenaska Alabama II Partners, L.P.",
NRG Energy Services,NRG Energy Center Dover LLC,
AES Greenidge,"AES Americas, Inc.",
Black Hills/Colorado Elec.Utility Co. LP,"Black Hills Colorado IPP, LLC.",
Kinder Morgan Power Co,Kinder Morgan Production Company LLC,
NorthWestern Energy,"Northwestern Electric Cooperative, Inc.",
Entergy RISE,Entergy Solutions LLC,
"Duke Energy Florida, Inc","Duke Energy North America, LLC",
Canandaigua Power Partners LLC,"Wilson Creek Power Partners, LLC",0.0
Canandaigua Power Partners LLC,Epsilon Power Partners LLC,0.0
Duke Energy North America LLC,Duke Energy Corporation,
RRI Energy Mandalay Inc,"Rri Energy Broadband, Inc",
Snowflake Power LLC,Symbion Power LLC,0.0
Entergy Nuc Fitzpatrick LLC,"Entergy Thermal, LLC",
International Paper,"International Oil & Gas, Inc.",0.0
Henry Harris,"Henry Oil Company, Inc.",0.0
North Central Cooperative,North Central Petroleum Inc,
Rio Bravo Poso,Rio Bravo Energy LLC,
Dynegy Morro Bay LLC,"Dynegy Holdings, LLC",
NRG Solar Roadrunner LLC,NRG Solar Kansas South Holdings LLC,
Fairfield University,Fairfield Industries Incorporated,0.0
Sierra Pacific Power Co,Sierra Pacific Energy Company,
Delta Person LP,"Delta Person, LLC",
NRG McClain LLC,NRG New Jersey Energy Sales LLC,
NRG REMA LLC,NRG Marsh Landing LLC,
Phillips 66,Phillips Drilling Corp. Inc.,
TransCanada Power,TransCanada Capital,
Union Power Partners LP,Union Power Cooperative,
Blue Breezes LLC,"Blue Heron Hydro, LLC",0.0
Echo 3,"Echo Production, Inc.",
Kinder Morgan Production Company LP,Kinder Morgan Cochin LLC,
Lake Cogen LTD,Lake Lenore Co-Operative Association Limited,0.0
Union Carbide Corp-Texas City,Union Gas Corporation,
Black Hills Corp,Black Eagle Mining Corporation,
PECO Energy Co,Peco Energy Capital L.P.,
High Plains,High Plains Cooperative,
AEP Generation Resources Inc,"AEP Resources, Inc.",
TransCanada Power,Transcanada Limited,
J-POWER Birchwood LP,"J-POWER Westmoreland, LLC",
General Chemical Corp,"General Utilities, Inc.",0.0
Bio Energy LLC,"Bio-Energy Systems, Inc.",0.0
SunRay Power LLC,"Sun Peak Power Holdings, LLC",0.0
Shell Renewables,Shell Canada Resources Ltd.,
"Dynegy Oakland, LLC",Dynegy Power LLC,
"Flat Rock Windpower, LLC","Flat Rock Energy, LLC",
FPL Energy Oklahoma Wind LLC,"FPL Energy Wind Funding, LLC",
Tenaska Georgia I LP,"Tenaska Georgia Partners, L.P.",
Harvard University,Harvard Dedicated Energy Limited,0.0
NextEra Energy Seabrook LLC,"NextEra Energy Resources, LLC",
Buckeye Power Inc,"Buckeye Power Generating, LLC",
Desert Power Associates,"Desert Power, LLC",
AES Westover LLC,"AES Southland, L.L.C.",
E F Kenilworth LLC,"e-biofuels, LLC",0.0
"Dominion Energy New England, LLC","Dominion Energy, Inc.",
Hazleton Generation LLC,"Renewable Power Generation Network, LLC",0.0
Boralex Inc,Boralex Operations Inc.,
Pacific Recovery Corp,Pacific BioEnergy Corporation,
Duke Energy Generation Services,"Duke Energy Generation Services, Inc.",1.0
MidAmerican Energy Co,MidAmerican Energy Company,1.0
El Paso Electric Co,"El Paso Pipeline Partners Operating Company, L.L.C.",
NRG Energy Center San Diego LLC,NRG Energy Center Paxton LLC,
Valero Refining Co,Valero Refining Company-Louisiana,
Cargill Inc,Cargill Limited,
SunE NC Progress 1 LLC,"SunE Michael 1, LLC",
Rocky Mountain Power Inc,Rocky Mountain Miners Inc,
"Toyon Landfill Gas Conversion, LLC",Penrose Landfill Gas Conversion LLC,0.0
Pure Resources,Pure Cycle Corporation,
North American Energy Services,North American Energy Partners Inc.,
Sun Edison,"Sun River Operating, Inc.",0.0
"ALLETE, Inc.",ALLETE Capital III,
North Carolina El Member Corp,North Carolina Electric Membership Corporation,1.0
FPL Energy Vansycle LLC,"FPL Energy American Wind, LLC",
FPL Energy Sooner Wind LLC,"FPL Energy American Wind, LLC",
Dunn Paper,Dunn Coal and Dock Company,
Rock-Tenn Co,"Rock Oil Company, LLC",0.0
"Inside Passage Elec Coop, Inc","Inside Passage Electric Cooperative, Inc.",1.0
Illinois Power Generating Co,Illinois Power Capital L.P.,
Brown University,Brown & Reich Petroleum Inc.,0.0
Paragon Assets,Paragon Offshore Inc.,
Occidental College,"Occidental Petroleum , Inc.",0.0
Medicine Bow Wind LLC,Medicine Bow Energy Corporation,
El Paso Electric Co,"El Paso Citrus Holdings, Inc.",
AES Cayuga LLC,"AES Beaver Valley, L.L.C.",
Covanta Energy Co,"Covanta Energy Americas, Inc.",
"SunCoke Energy, Inc.",SunCoke Energy Partners GP LLC,
Entergy RISE,"Entergy Utility Holding Company, LLC",
Amherst College,Amherst Wind Power LP,0.0
FPL Energy Inc,"FPL Energy American Wind, LLC",
Midwest Electric Power Inc,Midwest Power Systems Inc.,
AES Somerset LLC,"AES Thames, L.L.C.",
Northeast Texas Elec Coop Inc,"Northeast Texas Electric Cooperative, Inc.",1.0
International Paper,International Oil Trading Co. Ltd.,0.0
Entergy Corp,"Entergy Gulf States Hurricane Recovery Funding I, L.L.C.",
Kinder Morgan Inc,"Kinder Morgan Energy Partners, L.P.",
Thunder Bay Power Co,"Thunder Basin Coal Company, L.L.C.",0.0
"Sunray Energy 2, LLC","Sunray Energy, Inc.",
U S Gypsum Co,U.S. Oil and Gas Resources Inc.,0.0
Fort Chicago,Fort Payne Improvement Authority,0.0
Marshall Wind 6 LLC,"Marshall Wind 5, LLC",
Shell Wind Energy Inc.,"Shell WindEnergy, Inc.",1.0
Edison International,Edison Propane LLC,
