name,client,score
California Pizza Kitchen Inc,California Nickel Corp,0.9632701086905082
Educational Insights Inc,Education Options,0.9629628478509746
Stewart & Stevenson Services Inc,Stewart & Stevenson,0.9629078063129339
Cambridge Holdings Ltd,Cambridge Public Health Commission,0.9628805333950009
Pioneer Natural Resources Ltd,Pioneer North America,0.9627244010136248
First State Bancorporation Inc,First State Bank in Rio Vista,0.9621854586587757
Independent Fact Ltd,Independent Sector,0.9619884498888455
New York Community Bancorp Inc.,New York Correctional Officers Assn,0.9616428894665726
Philadelphia Consolidated Holding Corp,Philadelphia College of Osteopathic Medicine,0.9612542304693076
Hanover Capital Mortgage Holdings Inc.,Hanover Capital Partners,0.9612168146241761
Community Bank System Inc.,Community Transit,0.9608185782351727
Allied Domecq PLC (New),Allied Domecq Spirits & Wine,0.960753575703398
Union Pacific Resources Group,Union Hospital,0.9606697494197697
Credit Suisse (USA) Inc,Credit Suisse First Boston,0.9605291630609585
Spectrum Organic Products Inc,Spectrum Healthcare Resources,0.9604895077228859
Park City Group Inc,Park Place,0.960438659029374
Montgomery Ward Holding,Montgomery Division of Transportation,0.9602833061593165
Knickerbocker L L Inc,Knickerbocker Management,0.9602681914372668
Transportation Component Inc,Transportation Corridor Agencies,0.9601905353558828
Motorola Solutions Inc,Motorola Space Systems Technology Group,0.9600983228540498
Puerto Rican Cement Co Inc,Puerto Rican American Foundation,0.9600636592877665
Federal Home Loan Mortgage Corp,Federal Home Loan Bank of Seattle,0.9599675674394648
Western Forest Products Inc,Western Growers Assn,0.9598937632322563
Global Election Systems Inc,Global Encasement,0.959844373924424
Lockheed Martin Corp,Lockheed Martin Energy Systems,0.9598131822633903
Childrens Place Inc,Children's Health Fund,0.9594994733774493
Peoples Bancorp Inc/DE,People's Bank,0.9592862446450997
British American Tobacco PLC,British American Tobacco/Ltn Amer-Crbn,0.95921632053963
Environmental Power Corp,Environmental Technology Council,0.9589108471587577
Sierra Monitor Corp,Sierra Military Health Services,0.9588578822333408
Pacific Paradym Energy Inc,Pacific Coast Cement,0.9588320323043519
Williams Cos Inc.,Williams Companies,0.9586703112550319
Dover Downs Gaming & Entertainment Inc.,Dover Downs Entertainment,0.9583532867489171
Golden Ocean Group Ltd,Golden Peanut Co,0.958270597034756
New York Community Bancorp Inc.,New York Clearing House Assn,0.9582550320120038
Western Star Trucks Holdings Ltd,Western States Tourism Policy Council,0.9582052740875746
Guaranty Bancshares Inc,Guaranty Bank & Trust,0.9581458034554261
Horizon Health Corp,Horizon Organic Dairy,0.9581271665471842
Environmental Power Corp,Environmental Co,0.9580423891901747
Lockheed Martin Corp,Lockheed Martin VentureStar,0.957942499181825
Healthcare Financial Partners Inc,Healthcare Financial Management Assn,0.9576976194283405
Fujifilm Holdings Corp,FujiFilm Holdings America Corp,0.9574206443329305
Provident Cos Inc,Providence Cityarts for Youth,0.9573154323558086
Jefferson-Pilot Corp,"Jefferson County, TX",0.9570853671383394
Independence Community Bank Corp.,Independent Office Products/Furniture Dealers Assn,0.9570576251506268
Security PA Financial Corp,Security Cos Organized for Legis Action,0.9569130090031435
Steel Technologies Inc,Steel Recycling Institute,0.9569056351886974
Independent Bank Corp,Independent Power Tax Group,0.9567896952502737
General Cable Corp.,General Ore International,0.9566484694752693
Schlumberger Ltd,Schlumberger Technology,0.9563917474565082
Electronic Control Security,Electronic Consultants Inc,0.9560797492085688
Independent Bank Corp,Independent Pilots Assn,0.9560476965002603
Independent Fact Ltd,Independent Refiners Coalition,0.9559941386704714
Western Water Co,Western Growers Insurance Services,0.9559720671407957
New England Power Co,New England Aquarium,0.9555345681708626
Alabama Gas Corp,Alabama State University,0.9554907986899862
Envirosource Inc,Envirosource Technologies,0.9553988164809165
Excelsior-Henderson Motorcycle,Excelsior College,0.9553882492587423
Protective Life Corp,Protective Life Insurance,0.9553494158300951
Consolidated HCI Holdings Corp,Consolidated Billing Coalition,0.9553268159985243
Telstra Corporation Ltd,Telstra Corp,0.9550474595179204
Independent Fact Ltd,Independent Telephone & Telecom Alliance,0.9549420012864812
American Medical Systems Holdings Inc,American Medical Group Assn,0.9547978677612853
Montgomery Ward Holding,Montgomery Watson,0.9547377358785097
British Energy Group,British Energy,0.9547082071162546
General Motors Financial Co Inc,General Aviation Manufacturers Assn,0.9547012762229995
Independence Community Bank Corp.,Independence Blue Cross Family of Cos,0.9546651734072258
Intertrust Technologies Corp,Intermap Technologies,0.9546109294513891
North American Palladium Ltd.,North American Bison Cooperative,0.954560867598895
Advanced Technical Products Inc,Advanced Acoustic Concepts,0.9544312871662268
Carpenter Technology Corp,Carpenters & Joiners Union,0.9543454620098438
Environmental Safeguards Inc,Environmental Research & Ed Found,0.9543147700060143
Heritage US Government Income Fund,Heritage Development,0.9542981559110655
Columbia Sportswear Co,Columbia Communications Corp,0.9542122480669623
Evergy Inc,Exergy Inc,0.9541223702839876
Kansas City Life Insurance Co,Kansas City Power & Light,0.953952314234103
Community Bank System Inc.,Community Assns Institute,0.953906144418869
BlackRock California Investment Quality Municipal Trust Inc,Blackbird Holdings,0.953443829704496
Computer Network Technology Corp,Computer Intelligence,0.9533870963280334
American Family Insurance Group,American Family Business Institute,0.9533011809123836
Black Hills Corp,Black Hills Forest Resources Assn,0.9531662573508914
Computer Access Technology Corp,Computer Assoc International,0.9530292457986905
Evans & Sutherland Computer Corp,"Evans, Lawrence",0.9528438332497854
MAXIMUS Inc.,Maximum Technology,0.9527203857080967
Pacific Systems Control Technologies,Pacific Stock Exchange,0.9526031196200195
Vanguard Airlines Inc,Vanguard Charitable Endowment Program,0.9526020482202847
Michigan Consolidated Gas Co,Michigan Technological University,0.9524064517048035
Community Bank of Northern Virginia,Community Hospital Telehealth Consortium,0.9524033952146609
Central Pacific Financial Corp.,Central Kitsap School District,0.952381312424987
Electric & Gas Technology,Electric Drive Transportation Assn,0.952245253950088
Rich Coast Inc,Anchorage Municipal Light & Power,0.9522212728285826
Sun Healthcare Group Inc,Sun Healthcare,0.9521837179381505
Central European Media Enterprises Ltd,Central Eurpean Media Enterprises Ltd,0.9519877617666536
Federal Home Loan Mortgage Corp,Federal Communications Bar Assn,0.9519774884137733
Transportation Component Inc,Transportation Communications Union,0.9519726253212399
Barrick Gold Corp,Barrick Goldstrike Mines,0.9519589469872553
Pennsylvania Power Co,Pennsylvania Blue Shield,0.9515768991642996
Spectrum Laboratories Inc,Spectrum Astro,0.9515764151616259
Bombardier Inc,Bombardier Aerospace,0.9515196968772065
Florida Gaming Corp,Florida Gas Utility,0.951334784948668
Financial Select Sector SPDR Fund,Financial Services Council,0.9513150793223561
Western Asset Intermediate Muni Fund Inc,Western Great Lakes Pilots Assn,0.9511091565209139
Independent Financial Network Inc,Independence Mining,0.9509538110545586
Santa Barbara Restaurant Group,Santa Barbara Metropolitan Transit Dist,0.9509292946977443
Independent Fact Ltd,Independent Insurance Agents of America,0.9508871825419667
Bombardier Inc,Bombardier Capital,0.9508484806253472
Financial Federal Corp.,Financial Executives Institute,0.9506671998094666
Independence Square Income,Independent Television Service,0.9506222883622182
Hillsborough Resources Ltd,Hillsborough Area Regional Transit Auth,0.9506156982895646
CTC Communications Group Inc,CTC Communications,0.9504057298675532
Georgia Carolina Bancshares,Georgia Ports Authority,0.950344411258796
North American Technologies Group Inc,North America's Supercorridor Coalition,0.9502447849690673
Robert Mondavi Corp,Robert Mondavi Winery,0.9501163647459291
ICO Global Communications Holdings Ltd,ICO Global Communications,0.9500696304179923
Southern California Gas Co,Southern California Assn of Governments,0.9500228427189847
Edison International,Edison Community College,0.9499670949120554
Republic Security Financial Corp,Republican Jewish Coalition,0.9499657456550386
William Lyon Homes,Williams & Connolly,0.9499116560466061
Connectinc.com Co,Connecticut Resources Recovery Authority,0.9498952633689406
Electronic Data Systems Corp,Electronic Warfare Assoc,0.9498557229069007
Nebraska Book Co Inc,Nebraska Hospital Assn,0.9497078694793889
American Management Systems Inc.,American Management Services,0.9497027294293172
New York Intl Commerce Group,New York Institute for Special Education,0.9496343208501916
Electronic Data Systems Corp,Electronic Commerce Forum,0.949488093094743
Charles & Colvard Ltd,Charles Klatskin & Co,0.949487017512099
New York Times Co,New York Mercantile Exchange,0.9494478396972295
American Architectural Products,American Architectural Foundation,0.9493508562086419
McGraw-Hill Ryerson Ltd,McGraw-Hill Companies,0.9493022235233208
Connectinc.com Co,Connecticut State University System,0.9491925739700482
Environmental Power Corp,Environmental Industry Assns,0.9491403272528992
Independent Bankshares Inc,Independent Assn of Continental Pilots,0.9490865558890914
Lockheed Martin Corp,Lockheed Martin Space Systems,0.949078172712151
Western Financial Group Inc,Western Financial/Westcorp,0.9487757373725818
Washington Banking Co,Washington Soccer Partners,0.9486551101412956
American Business Products,American Business Conference,0.9485713822148364
Callon Petroleum Co/DE,Callon Petroleum,0.9483845227230604
New York Health Care Inc,New York State Chiefs of Police,0.9483368994863124
Koninklijke Kpn NV,Koninklijke Hoogovens NV,0.9481920288168899
First Montauk Financial Corp,First South Farm Credit ACA,0.9480825519769086
Home City Financial Corp,Home School Legal Defense Assn,0.9478449024481508
Community Savings Bankshares,Community Stations Resource Group,0.9477784786808192
Northwest Pipe Co,Northwest Hydroelectric Assn,0.9477507508091578
Texas Pacific Land Trust,Texas Pacific Group,0.9475874113059152
Virginia Commonwealth Financial,Virginia Commonwealth Trading,0.9475773063524598
Transtech Industries Inc,Transatlantic Lines-Iceland EHF,0.9474839316320549
Western Asset Municipal High Income Fund Inc,Western Resources Inc,0.9473409924693761
Computer Horizons Corp.,Computer Systems Policy Project,0.9473045789342401
Apria Healthcare Group Inc,Apria Healthcare,0.9471454006684721
Venture Holdings Co LLC,Venture Coke Co,0.947135366390422
Georgia Carolina Bancshares,Georgia Cotton Commission,0.9471100708960727
Montgomery Financial Corp,"Montgomery County, MD",0.9471021026587795
Michigan Rivet Corp,Michigan Bulb,0.9470707731918467
Puerto Rican Cement Co Inc,Puerto Rico Manufacturers Assn,0.9470486826019846
Imperial Industries Inc,Imperial Land Development,0.9470340800869516
Columbus Energy Corp,Columbus General,0.9469741073182985
Massachusetts Electric Co,Massachusetts Medical Society,0.9468359559147836
Environmental Tectonics Corp,Environmental Business Action Coalition,0.9467380319446792
Federal Home Loan Mortgage Corp,Federal Home Loan Bank of Dallas,0.9466531371876915
Diversified Opportunities Inc,Diversified Collection Services,0.9465634552074481
Alaska Communications Systems Group Inc,Alaska Communications,0.9465164340836811
Trans World Airlines,Trans World Assurance,0.9464066563152964
Community Health Systems Inc,Community Bankers Assn of New York State,0.9461343539034522
Central Newspapers,Central Suffolk Hospital,0.9461174700738978
Central Securities Corp,Central Valley Project Water Assn,0.946109166912588
Independent Fact Ltd,Independent Forest Products Assn,0.9461081341574186
Charter One Financial Inc.,Charter Schools Development Corp,0.9460619225339034
Commonwealth Bankshares Inc,Commonwealth Atlantic Properties,0.9459500221809253
Pittston Co-Bax Group,Pittston Coal,0.9458237476769539
Mitsubishi Electric Corp,Mitsubishi International,0.9454635171285747
Western Asset Municipal High Income Fund Inc,Western Ag-Resources,0.9454467447635326
Financial Federal Corp.,Financial Executives International,0.9454434969042219
New Skies Satellites Holdings Ltd,New Skies Satellites,0.9452837650593311
ExpressJet Holdings Inc.,Express Personnel Services,0.9449883306371261
Fuel Cell Technologies Ltd,Fuel Cell Power Assn,0.9449578310967207
General Mills Inc.,General Reinsurance,0.9449360782920938
Evergreen Solar Inc,Evergreen International Aviation,0.9448609212046586
Connectinc.com Co,Connecticut Steel Corp,0.9448502726048624
New York Health Care Inc,New York-Presbyterian Hospital,0.9448276776219089
Pegasus Solutions Inc,Pegasus Communications,0.9447541724390832
Pacific Bell,Pacific Marine,0.9447212132153313
Waddell & Reed Financial Inc.,Waddell & Reed,0.9446690389266933
Geneva Steel Holdings Corp,Geneva Steel,0.9446439080247826
American Health Properties,American Health Care Assn,0.9441274991248868
Broadcast.com Inc,Broadcast Music Inc,0.9440195856108945
Connecticut Light & Power Co,Connecticut Road Builders Assn,0.9439976659296031
Northern States Power Co /Mn,Northern States Power,0.9439609798644526
Precision Systems Inc,Precision Standard,0.9436240570373855
First Kansas Financial Corp,First Priority,0.943576110632479
Federal Home Loan Mortgage Corp,Federal Home Loan Bank of Des Moines,0.9433948612799616
Electroglas Inc,Electrox,0.9433333972633567
Community First Banking Co,Community Anti-Drug Coalitions of Amer,0.9433326656157079
Community Bankshares Inc/VA,Community Hospitals of Ottawa,0.9433083846064664
Business Resource Group,Business Software Alliance,0.9431722143553236
New England Business Service Inc.,New England Organ Bank,0.943099695280828
Downey Financial Corp,Downey Finaincial,0.9429958229766829
Environmental Energy Service,Environmental Redevelopers Assn,0.9428303697826319
Childrens Place Inc,Children's Cause for Cancer Advocacy,0.942813014751638
Arizona Public Service Co,Arizona Power Authority,0.942743842430288
International Telecommunications Data Systems Inc,International Telecoms Satellite Org,0.9427334314421336
Consumer Discretionary Select Sector SPDR Fund,Consumer Electronics Assn,0.94271029344738
Monterey Bay Bancorp Inc,Monterey Bay Corp,0.9426672282640894
Applied Magnetics Corp,Applied Marine Technology,0.942606704609916
Lockheed Martin Corp,Lockheed Martin Electronics & Missiles,0.9425423855591971
Fidelity Southern Corp,Fidelity Technologies Corp,0.9425384253597707
Mariner Health Care Inc,Mariner Post Acute Network,0.9425273729192086
Florida Power & Light Co,Florida Community College/Jacksonville,0.9422234415744949
Investment Technology Group Inc.,Investment Counsel Assn of America,0.9421389775192955
Consumers Packaging Inc,Consumer Specialty Products Assn,0.9420111712532802
New York Community Bancorp Inc.,New York Cotton Exchange,0.9420035689354171
Federal Home Loan Mortgage Corp,Federal Home Loan Bank of New York,0.9418724602893801
Lockheed Martin Corp,Lockheed Martin Space Electronics/Commun,0.941866406966762
General Nutrition Cos,General Dynamics Armament Systems,0.9417046091148432
Mississippi Power Co,Mission Springs Water District,0.9416841933422969
California Micro Devices Corp,California Microwave Inc,0.941632971882448
Michigan Rivet Corp,Michigan State University,0.9415776292129067
ProLogis Inc,ProLogic Inc,0.9413892632764452
Western Digital Corp,Western Electricity Coordination Council,0.9412865375404169
Western Power & Equipment Corp,Western Kentucky University,0.941285574615715
Citizens South Banking Corp,Citizens Scholarship Fdtn of America,0.941271845611431
New England Electric System,New England Financial,0.9412650858688694
IRI International Corp,IAI International,0.9410796275336316
Physicians Specialty Corp,Physician Insurers Assn of America,0.9408597998267256
Caddo International Inc,Caddo Lake Institute,0.9407802299397213
Dictaphone Corp/DE,Dictaphone Corp,0.94074709779655
Princeton National Bancorp Inc,Princeton Public Affairs,0.9407217726057095
Chicago Bridge & Iron Co. NV,Chicago Stock Exchange,0.9406438524150982
Electronic Retailing Systems International,Electronic Commerce Tax Study Group,0.940611375388947
Central & South West Corp,Central Florida Regional Trans Authority,0.9405789811399953
Illinois Central Railroad Co,Illinois Institute of Technology        ,0.940498565954339
Federal Data Corp,Federal Systems Group,0.9403182831494975
Universal Std Healthcare Inc,Universal Systems & Technology Inc,0.9402748802073502
Pacific Gateway Properties Inc/MD,Pacific Forest Trust,0.9401016372210128
Medical Graphics Corp,Medical Imaging Contrast Agent Assn,0.9400841831870624
Columbia Sportswear Co,Columbia Natural Resources,0.9400105079277885
Federal Home Loan Mortgage Corp,Federal Home Loan Bank of San Francisco,0.9399892989470281
ADE Corp,RDV Corp,0.9397964719953953
Healthcare Technologies Ltd,Healthcare Assn of New York State,0.9397209076366677
East Texas Financial Services Inc,East Texas Electric Cooperative,0.9396191642804015
American Business Financial Services Inc,American Business Is Local Enterprise,0.939595151306262
Techsys Inc,Techhealth Inc,0.9395818408819284
Public Service Co of Oklahoma,Public Interest Projects,0.9395615893516805
Innovative Gaming Corp America,Innovative Management Concepts,0.9395584071081764
Virginia Commonwealth Financial,Virginia Tech Intellectual Properties,0.9395457080689241
Provident Cos Inc,Providence Plan,0.9394823160450364
Centra Financial Holdings,Central CA Educ Legislation Consortium,0.939287509988992
Industrial Services of America Inc,Industrial Fasteners Institute,0.9392775735601979
New York Community Bancorp Inc.,New York Botanical Garden,0.9392369410897218
Northwest Bancshares Inc,"Northwest Arctic Borough, AK",0.9391553514887829
Florida Gaming Corp,Florida Fruit & Vegetable Assn,0.939147503022703
Firstbank Corp,Firstar Corp,0.9390453009925925
North American Technologies Group Inc,North America's Superhighway Coalition,0.9389882598902299
Federal National Mortgage Association,Federal National Payables,0.9389498162528681
Pacific Mercantile Bancorp,Pacific Maritime Assn,0.938932035767236
Mission Critical Software,Mississippi Band of Choctaw Indians,0.9388894178543075
Pacific Insight Electronics Corp,Pacific Life Insurance,0.9388858764210228
Publicis Groupe SA,Public Lands Council,0.9388569133133647
Access to Money Inc,Access Community Health Network,0.9388332044047044
Tennessee Valley Authority,Tennessee Valley Public Power Assn,0.9387609635454648
Information Architects Corp,Information Technology Assn of America,0.9386887224229833
Applied Terravision Systems Inc,Applied Thermal Sciences Inc,0.9385422286541113
Mitsubishi Electric Corp,Mitsubishi Digital Electronics America,0.9384074808761514
Household Direct Inc,Household Goods Forwarders Assn,0.9383053587106973
Public Service Enterprise Group Inc,Public Generating Pool,0.9382869867324177
Video Services Corp,Video Software Dealers Assn,0.9382322177873792
Silicon Graphics Inc.,Silicon Graphics Federal,0.938154703028238
Alabama Power Co,Alabama A&M University,0.9380685808367513
PacificNet Inc,Pacific Lumber & Shipping,0.9379146471653073
Matthews Studio Equipment Group,Matthews Media Group,0.9378293636070045
Franchise Financial Corporation of America,Franchise Finance Corp America,0.9377902288358463
Kaiser Group Holdings Inc,Kaiser Group International,0.9376027751119066
Alabama Gas Corp,Alabama Dept of Transportation,0.9374463876789195
Environmental Tectonics Corp,Environmental Commonsense Coalition,0.9368472605489514
Electro Rent Corp,Electro-Radiation Inc,0.9366700296272095
American Industrial Properties REIT,American Industrial Hygiene Assn,0.9365790322576794
Unilever NV,Unilever US,0.9365313683638065
North American Van Lines Inc,North American Electric Reliability Corp,0.9365102953659384
Standard Commercial Corp,Standard Chartered Bank,0.9364198046826713
Andover Bancorp Inc/DE,Alzheimer's Assn,0.9363144577552216
Pennsylvania Power Co,Pennsylvania Credit Union League,0.9363128590889866
Premier Tech Ltd,Premier Aviation,0.9363020351529757
United Utilities Group PLC,United Utilities,0.936178035448007
Great American Financial Resources Inc.,Great American Lines,0.9360908011356762
Lockheed Martin Corp,Lockheed Martin Global Telecommunication,0.9360842954280152
Building One Services Corp,Building Owners & Managers Assn,0.9355721422366178
Vermont Yankee Nuclear Power Corp,Vermont Yankee Corp,0.935531132103183
Independent Fact Ltd,Independent Fuel Terminal Operators Assn,0.9354304317863646
Pacific Union Bank,Pacific Science Center,0.935347313327307
Massachusetts Electric Co,Massachusetts Heavy Industries,0.9353020546206138
First National of Nebraska Inc,First National Bank In Durant,0.9352729914789827
General Motors Co,General Atlantic Service Corp,0.9352207038819056
James Hardie Industries Plc,James Hardie Building Products,0.9352115321642022
Industrial Bancorp Inc,Industrial Truck Assn,0.9351751915293659
Santa Barbara Restaurant Group,Santa Barbara Regional Health Authority,0.9351518360894293
Florida Public Utilities Co,Florida International University,0.9350560685218327
Western Sierra Bancorp,Western Peanut Growers Assn,0.9350166798065402
FreeMarkets Inc,Freemarkets Online,0.9349748767971062
Sovereign Specialty Chemicals Inc.,Sovereign Bancorp,0.9349527643780734
California Water Service Group,California State University/Fresno,0.9349439909232785
Aurora Gold Corp,Aurora Flight Sciences,0.9348828551436469
American Electric Power Co Inc,American Electronics Assn,0.9347824801168941
Guardian Life Insurance Company of America,Guardian Industries,0.9346404875165752
Boston Scientific Corp,Boston College,0.9345907366880611
Western Asset Corporate Loan Fund Inc,Western Range Assn,0.9345741409721031
Jacksonville Bancorp Inc,Jacksonville Port Authority,0.9344183749058225
Otter Tail Corp,Otter Tail Power,0.9343808265344449
Robertson-Ceco Corp,Robertson Aviation,0.9343777571844141
Franklin Bancorp Inc/MI,Franklin Hospital Medical Center,0.9342876291946041
Healthcare Integrated Services,Healthcare Leadership Council,0.9341954628980389
Energy North Inc,Energy Communities Alliance,0.9341431470971274
Health Systems Design Corp,Healthcare Financing Study Group,0.9341345503022189
Republic Bancorp Inc,Republic Properties,0.9341158527136413
Federal Home Loan Mortgage Corp,Federal Home Loan Bank of Topeka,0.9340341895880737
North Carolina Natural Gas,North Carolina Growers Assn,0.9339259080215403
North American Van Lines Inc,North American Die Casting Assn,0.9338496863992916
San Diego Gas & Electric Co,San Diego Assn of Governments,0.933718901240395
Orange PLC,"Orange County, CA",0.9336963325677168
Integrated Oil Nt Corp,Integrated Concepts & Research Corp,0.9336601254904336
Innovative Solutions and Support Inc,Innovative Science Solutions Llc,0.9335264133668352
Applied Magnetics Corp,Applied Safety Technologies Corp,0.9334166918396618
Susquehanna Bancshares Inc,Susquehanna Health System,0.9333955708239966
New York Community Bancorp Inc.,New York Roadway Improvement Coalition,0.9333800660397568
Lockheed Martin Corp,Lockheed Martin Ms/Gaithersburg,0.9333339487619051
Alliance Data Systems Corp,Alliance for American Innovation,0.93330624825981
General Instrument Corp,General Communication Inc,0.933189287484159
Potomac Edison,Potomac Electric Power,0.9331108852490999
Educational Development Corp,Educational Video Conferencing Inc,0.933092467207162
New York Bagel Enterprises Inc,New York State Credit Union League,0.9330601163071188
Innovative Solutions and Support Inc,Innovative Business Solutions,0.9330584522171745
Citizens First Financial Corp,Citizens Flag Alliance,0.9329197954782384
Quantum Bridge Communications Inc,Quantum Realty Fund,0.932863194039108
Environmental Technologies Corp,Environmental Council of the States,0.9328567125541367
California Micro Devices Corp,California Community Foundation,0.9328245583627247
ANFI Inc,Anglogold North America,0.9327250915212004
Astrazeneca PLC,AstraZeneca Pharmaceuticals,0.9326576616493242
California First National Bancorp,California Franchise Tax Board,0.9326565044584189
General Motors Co,General Atomics,0.9326482803152423
Societe Generale Group,Societe Generale du Surveillance,0.9325143287728214
Federal Home Loan Mortgage Corp,Federal Home Loan Bank of Boston,0.9324676183035215
Payless Cashways,Payless Shoesource,0.9322323180872838
British American Tobacco PLC,British Trade & Commerce Bank,0.9321961101444936
Broadband HOLDRS (SM) Trust,Broadband Services Corp,0.9321389498798027
Canadian Crude Separators Inc,Canadian Electricity Assn,0.9321201198465484
Vail Resorts Inc.,Vail Resorts Management,0.9319966830635403
Lockheed Martin Corp,Lockheed Martin Fairchild Systems,0.9319425923275944
Washington Gas Light Co,Washington State University,0.9318478067329623
Molecular Imaging Corp,Molecular Separations,0.9317820297610336
Scientific-Atlanta Inc,Scientific Atlanta,0.9317325854399672
Providence and Worcester Railroad Co,Provident Life & Accident Insurance,0.9317305742872518
Information Holdings Inc.,Information Handling Services,0.9316464900862135
Virtual Communities Inc,Virtual Impact Productions,0.9315984530838963
Pacific Gulf Properties Inc,Pacific Wireless Technologies,0.931564900348599
Childrens Place Inc,Children's Mercy Hospital,0.9314177702607547
William Lyon Homes,William Tyndale College,0.9314098231605837
Public Storage Canadian Properties,Public Broadcasting Service,0.9313930007494198
Community Financial Group Inc,Community Financial Services Assn,0.9311661581421189
Cambridge Energy Corp,Cambridge Redevelopment Authority,0.9311176700040189
First Banking Company of Southeast Georgia,First Rochdale Cooperative,0.9310666707766228
Appalachian Power,Appalachian-Pacific LLC,0.9310539256083096
Cornerstone Internet Solutions,Cornerstone Securities,0.9309340349283332
Florida Rock Industries Inc,Florida Atlantic University,0.9308472791376291
Information Hwy.com Inc,Information Technology Industry Council,0.9307227645625835
Lockheed Martin Corp,Lockheed Martin Missiles & Fire Control,0.9306570083746167
BellSouth Corp,BellSouth DC,0.9306531155067179
Federal Home Loan Mortgage Corp,Federal Home Loan Bank of Atlanta,0.9306503158750264
Alliance All-Market Advantage Fund Inc.,Alliance Air Services,0.9305705420022604
Capital Pacific Holdings Inc.,Capitol Broadcasting,0.9305226776312202
Texas Equipment Corp,Texas-New Mexico Power,0.9304949401372564
California First National Bancorp,California Institute of the Arts,0.9304705026639924
Pegasus Solutions Inc,Pegasus Airwave,0.9304325708593947
Crossroads Systems Inc,Crossroads Center,0.9303661245017223
Newport Exploration Ltd,Newport Group,0.9303053877954061
